task,seed,accuracy,macro_f1,weighted_f1,positive_class_f1,selected_feature_count,test_samples
empty_vs_presence,7,0.8904244817374136,0.8775910775812799,0.8907766178270636,0.9172259507829977,160,1013
static_vs_movement,7,0.9185185185185185,0.9185156570655979,0.9185163724288281,0.9180327868852459,160,675
empty_vs_presence,13,0.9030662710187932,0.8899524613470766,0.9025402156164894,0.9279411764705883,160,1011
static_vs_movement,13,0.87518573551263,0.8748849150141643,0.874894030786845,0.8810198300283286,160,673
empty_vs_presence,21,0.8797216699801192,0.8711832838600779,0.881930441679126,0.9043478260869565,160,1006
static_vs_movement,21,0.9309309309309309,0.9309153557511907,0.9309309309309309,0.9319526627218935,160,666
empty_vs_presence,42,0.905511811023622,0.8963542928552302,0.9066034357059469,0.9271623672230652,160,1016
static_vs_movement,42,0.9645494830132939,0.9645456925896831,0.9645451511005959,0.9649122807017544,160,677
empty_vs_presence,84,0.883629191321499,0.8748896872764991,0.8857814572430288,0.9079563182527302,160,1014
static_vs_movement,84,0.9436201780415431,0.9436181922247171,0.9436181922247172,0.943952802359882,160,674
empty_vs_presence,126,0.8803165182987142,0.8694240423031476,0.8819951532980309,0.9071373752877974,160,1011
static_vs_movement,126,0.8798219584569733,0.8797263804897393,0.8797263804897392,0.8831168831168831,160,674
empty_vs_presence,168,0.8697813121272365,0.8573477501740044,0.8711628190109291,0.8994627782041443,160,1006
static_vs_movement,168,0.9491017964071856,0.9490903874259174,0.9490949510184247,0.9498525073746312,160,668
empty_vs_presence,210,0.8506429277942631,0.8355805424966478,0.8519719617911116,0.8853454821564161,160,1011
static_vs_movement,210,0.96875,0.9687466087900163,0.9687456398728781,0.9690721649484536,160,672
empty_vs_presence,336,0.8609467455621301,0.8471145918767797,0.8624433392395615,0.8931008339651251,160,1014
static_vs_movement,336,0.9349112426035503,0.934865061359635,0.9348701926089588,0.9331306990881459,160,676
empty_vs_presence,512,0.9216269841269841,0.9125345025861151,0.9217668684583822,0.940735183795949,160,1008
static_vs_movement,512,0.9357249626307922,0.9356553792747111,0.9356775194334641,0.9377713458755427,160,669
