label,quadrant,accuracy_mean,accuracy_std
empty,quad1,0.8888310606572241,0.12661146023485687
empty,quad2,0.9277436347673398,0.04951168027757543
empty,quad3,0.9426470588235294,0.08157015929934155
empty,quad4,0.8137401229148375,0.15600592660243753
empty,quad5,0.9367647058823529,0.08406541181753821
movement,quad1,0.9631898636189682,0.03920481623385113
movement,quad2,0.9101624231782266,0.07856748409966442
movement,quad3,0.9941176470588236,0.018601633295108142
movement,quad4,0.8602941176470589,0.06765771442079539
movement,quad5,0.9926470588235293,0.010398629135096277
static_presence,quad1,0.7491044776119403,0.1609242413995266
static_presence,quad2,0.6518358065026842,0.0928857171304497
static_presence,quad3,0.700032591055418,0.19556838667862253
static_presence,quad4,0.6080593024183893,0.1006907472427406
static_presence,quad5,0.7046312554872695,0.10188192918359944
