seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,true_class,predicted_class,count
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,empty,279
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,static_presence,59
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,movement,1
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,empty,155
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,static_presence,161
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,movement,23
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,empty,3
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,static_presence,22
42,100,25,240,60,4023,1016,100,70,decision_tree_depth6_top70,decision_tree,70,70,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,movement,313
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,empty,295
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,static_presence,42
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,movement,2
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,empty,99
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,static_presence,215
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,movement,25
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,empty,9
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,static_presence,11
42,100,25,240,60,4023,1016,100,100,decision_tree_depth6_top100,decision_tree,100,100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,movement,318
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,empty,299
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,static_presence,38
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,movement,2
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,empty,74
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,static_presence,243
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,movement,22
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,empty,8
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,static_presence,10
42,100,25,240,60,4023,1016,100,126,decision_tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,movement,320
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,empty,313
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,static_presence,23
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,movement,3
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,empty,62
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,static_presence,256
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,movement,21
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,empty,5
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,static_presence,29
42,100,25,240,60,4023,1016,100,160,decision_tree_depth6_top160,decision_tree,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,movement,304
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,empty,306
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,static_presence,33
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",empty,movement,0
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,empty,70
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,static_presence,240
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",static_presence,movement,29
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,empty,5
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,static_presence,34
42,100,25,240,60,4023,1016,100,1100,decision_tree_depth6_topall,decision_tree,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",movement,movement,299
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,289
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,50
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,129
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,186
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,24
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,2
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,11
42,100,25,240,60,4023,1016,100,70,random_forest_100_top70,random_forest,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,325
42,100,25,240,60,4023,1016,100,100,random_forest_100_top100,random_forest,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,306
42,100,25,240,60,4023,1016,100,100,random_forest_100_top100,random_forest,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,33
42,100,25,240,60,4023,1016,100,100,random_forest_100_top100,random_forest,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,100,random_forest_100_top100,random_forest,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,68
42,100,25,240,60,4023,1016,100,100,random_forest_100_top100,random_forest,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,253
