selected_by_policy,model_name,family,top_k,top_k_sort,parameters_json,accuracy_mean,macro_f1_mean,weighted_f1_mean,roc_auc_ovr_macro_mean,roc_auc_ovr_weighted_mean,average_precision_macro_mean,average_precision_weighted_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,fit_time_ms_mean,prediction_time_ms_mean,prediction_time_us_per_window_mean,actual_tree_count_mean,actual_node_count_mean,actual_max_depth_mean,used_feature_count_mean,mean_comparisons_per_prediction_mean,selected_feature_count_mean,selected_subcarrier_count_mean,train_windows_mean,test_windows_mean,accuracy_std,macro_f1_std,weighted_f1_std,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_std,average_precision_macro_std,average_precision_weighted_std,empty_f1_std,static_presence_f1_std,movement_f1_std,fit_time_ms_std,prediction_time_ms_std,prediction_time_us_per_window_std,actual_tree_count_std,actual_node_count_std,actual_max_depth_std,used_feature_count_std,mean_comparisons_per_prediction_std,selected_feature_count_std,selected_subcarrier_count_std,train_windows_std,test_windows_std
True,random_forest_20_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 20}",0.8966535433070866,0.8961947211058058,0.8961218437690615,0.9549832183464173,0.9549475025732599,0.911694799180513,0.9116163570218162,0.8769017980636238,0.8414442700156985,0.9702380952380952,1964.2101999997976,11.599599998589838,11.416929132470313,20.0,3638.0,8.0,810.0,154.918,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_10_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 10}",0.8848425196850394,0.8841652336561379,0.8840922335580305,0.9541821960000506,0.9541457240313295,0.9111694552652718,0.911091636355125,0.8689655172413793,0.8251968503937008,0.9583333333333334,1010.1078000006964,9.45290000163368,9.304035434678818,10.0,1814.0,8.0,555.0,77.878,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,extra_trees_20_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 20}",0.8848425196850394,0.8837997172429325,0.8837203944337281,0.9504321451118528,0.950391818939392,0.8988569669660498,0.8987697615854852,0.8629032258064516,0.8241042345276873,0.9643916913946587,321.3446000008844,11.24329999947804,11.066240156966575,20.0,3644.0,8.0,775.0,154.824,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_30_topall,gradient_boosting,all,1100,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 30}",0.8818897637795275,0.8806255352714092,0.8805458965644535,0.9583718684937071,0.9583376991520979,0.9164837439810981,0.9164123154138096,0.8669410150891632,0.8133971291866029,0.9615384615384616,86519.71000000049,10.828200000105426,10.657677165458097,90.0,630.0,2.0,110.0,180.0,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_5_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 5}",0.8809055118110236,0.8797562251440926,0.879685851803542,0.9449936330560313,0.9449507543362873,0.8911041129720889,0.8910102639015678,0.8689655172413793,0.819047619047619,0.9512555391432792,493.63150000135647,4.48569999934989,4.415059054478238,5.0,925.0,8.0,350.0,38.872,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_20_topall,gradient_boosting,all,1100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8799212598425197,0.8783907397135917,0.8783159819530266,0.9545641872853784,0.954528078407429,0.9070764749262735,0.9069961586907155,0.8693259972489684,0.8115015974440895,0.9543446244477173,84586.55980000185,11.712200001056772,11.52775590655194,60.0,900.0,3.0,170.0,180.0,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,extra_trees_10_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 10}",0.8779527559055118,0.876464649403061,0.8763910363226081,0.9467185936412582,0.9466769746306647,0.8901673643221386,0.8900758241481181,0.8617449664429531,0.8163934426229508,0.9512555391432792,162.18010000011418,7.905200000095647,7.780708661511463,10.0,1826.0,8.0,554.0,77.384,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_10_top160,random_forest,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 10}",0.8759842519685039,0.8744303513365098,0.8743413955955376,0.9487236799515523,0.9486810730709059,0.8932450542836241,0.8931515651670591,0.8539944903581267,0.8044871794871795,0.9648093841642229,364.1846999998961,5.504500000824919,5.41781496144185,10.0,1636.0,8.0,153.0,76.546,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_20_top160,random_forest,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 20}",0.8759842519685039,0.8741965545191527,0.8741087590226986,0.9532897242210745,0.9532508491217293,0.9047153088222383,0.904632007961053,0.8559670781893004,0.8032258064516129,0.9633967789165446,748.3662999984517,9.73349999912898,9.580216534575769,20.0,3272.0,8.0,160.0,153.34,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_20_topall,gradient_boosting,all,1100,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 20}",0.875,0.8734626382148457,0.8733802550254498,0.9552524165910316,0.9552174146008967,0.9121852931706081,0.9121121797113124,0.860655737704918,0.8025682182985554,0.9571639586410635,68758.95239999954,14.351900001202011,14.125885827954736,60.0,420.0,2.0,80.0,120.0,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
