seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction,correlation_threshold,model_name,top_k
7,50,12,240,60,9054,2277,37,126,0.829161176987264,0.8276481709330298,0.8276839035978012,0.9427729718547616,0.9427887941477513,0.892253169479862,0.8922928207100062,0.821360457724094,0.7588603196664351,0.9027237354085603,23960.23409999907,10.375500001828186,4.5566534922389925,2277,60,900,3,61,180.0,0.85,gradient_boosting_reference,126
13,50,12,240,60,9052,2279,37,126,0.8135146994295743,0.8119995045028984,0.8120283735717668,0.9245667581383712,0.9245951211902643,0.884108935094301,0.8841304550098324,0.8438320209973753,0.7462068965517241,0.8459595959595959,30918.308800002706,18.055300002743024,7.922465995060564,2279,60,900,3,63,180.0,0.85,gradient_boosting_reference,126
21,50,12,240,60,9067,2264,37,126,0.8065371024734982,0.7994123613086046,0.8000233872091429,0.9316985537682715,0.9319952860646051,0.8757295272034759,0.8759984279469352,0.8248520710059172,0.6883720930232559,0.8850129198966409,29469.322900000407,11.362200002622558,5.018639577130105,2264,60,900,3,56,180.0,0.85,gradient_boosting_reference,126
7,50,12,240,60,9054,2277,55,126,0.82389108476065,0.8216489888058586,0.8216814164894949,0.942520346506288,0.9425351248259978,0.8935379781580192,0.89357361633511,0.8229363579080026,0.7452364149611856,0.896774193548387,29940.51920000129,11.791100001573795,5.178348705126831,2277,60,900,3,61,180.0,0.9,gradient_boosting_reference,126
13,50,12,240,60,9052,2279,57,126,0.8148310662571303,0.8123251143104779,0.8123548822475317,0.9242494638560848,0.9242753157015822,0.8807085113719083,0.8807271818468784,0.8604206500956023,0.7444839857651245,0.8320707070707071,30309.174699999858,11.446100001194282,5.022422115486741,2279,60,900,3,64,180.0,0.9,gradient_boosting_reference,126
21,50,12,240,60,9067,2264,58,126,0.7963780918727915,0.7852426610855828,0.7859853281006901,0.9295683279670697,0.9298965098096783,0.8696258158521265,0.8699733922312886,0.8302752293577982,0.6526315789473685,0.8728211749515816,30250.558899999305,15.374999999039574,6.791077738091684,2264,60,900,3,60,180.0,0.9,gradient_boosting_reference,126
7,50,12,240,60,9054,2277,96,126,0.8322353974527887,0.8300318236165317,0.8300725773506795,0.9388580948289823,0.9388766479013403,0.8827710970569812,0.882825146578603,0.8233830845771144,0.7505330490405118,0.9161793372319688,31011.714299998857,11.258799997449387,4.944576195629946,2277,60,900,3,59,180.0,0.95,gradient_boosting_reference,126
13,50,12,240,60,9052,2279,94,126,0.8148310662571303,0.8112613243333859,0.8112984645787994,0.9281588916516655,0.9281895769260293,0.884012550193491,0.884037718846861,0.8629441624365483,0.7266187050359713,0.8442211055276382,31558.58900000021,15.564900000754278,6.829706011739481,2279,60,900,3,63,180.0,0.95,gradient_boosting_reference,126
21,50,12,240,60,9067,2264,96,126,0.7981448763250883,0.7862693513809508,0.787017573806259,0.9278386241170206,0.9281699482991714,0.8665369085260165,0.8668656928389331,0.8271889400921659,0.6519246519246519,0.8796944621260344,31304.7375999995,10.87329999791109,4.802694345367089,2264,60,900,3,62,180.0,0.95,gradient_boosting_reference,126
7,50,12,240,60,9054,2277,108,126,0.8348704435660957,0.8308756966608802,0.8309123569277629,0.9406634239686289,0.9406796091791632,0.884234565091198,0.8842746658481538,0.8303068252974327,0.7485380116959064,0.9137822529893015,31044.836099998065,11.800000000221189,5.18225735626754,2277,60,900,3,66,180.0,0.975,gradient_boosting_reference,126
13,50,12,240,60,9052,2279,108,126,0.7858709960508995,0.777875176795297,0.7779270787601311,0.9183511324028729,0.9183817916180805,0.8574389395636209,0.8574696096724997,0.809731752963194,0.6595905989385898,0.8643031784841075,31351.984600001742,14.54389999707928,6.381702499815392,2279,60,900,3,68,180.0,0.975,gradient_boosting_reference,126
21,50,12,240,60,9067,2264,108,126,0.7747349823321554,0.7622549971518824,0.7631059306263316,0.9216489481576725,0.9219749631854816,0.8513714358288266,0.8517544818741649,0.78125,0.6048780487804878,0.9006369426751593,31757.045900001685,13.16679999945336,5.815724381383993,2264,60,900,3,75,180.0,0.975,gradient_boosting_reference,126
7,50,12,240,60,9054,2277,108,126,0.8348704435660957,0.8308756966608802,0.8309123569277629,0.9406634239686289,0.9406796091791632,0.884234565091198,0.8842746658481538,0.8303068252974327,0.7485380116959064,0.9137822529893015,31234.63560000164,15.791199999512173,6.935090030527964,2277,60,900,3,66,180.0,0.99,gradient_boosting_reference,126
13,50,12,240,60,9052,2279,108,126,0.7858709960508995,0.777875176795297,0.7779270787601311,0.9183511324028729,0.9183817916180805,0.8574389395636209,0.8574696096724997,0.809731752963194,0.6595905989385898,0.8643031784841075,32014.48199999868,12.807699997210875,5.619877137872257,2279,60,900,3,68,180.0,0.99,gradient_boosting_reference,126
21,50,12,240,60,9067,2264,108,126,0.7747349823321554,0.7622549971518824,0.7631059306263316,0.9216489481576725,0.9219749631854816,0.8513714358288266,0.8517544818741649,0.78125,0.6048780487804878,0.9006369426751593,31228.986999998597,12.28399999672547,5.425795051557186,2264,60,900,3,75,180.0,0.99,gradient_boosting_reference,126
