session,quadrant,label,file_count
session_01,quad1,empty,10
session_01,quad1,movement,10
session_01,quad1,static_presence,10
session_01,quad2,empty,10
session_01,quad2,movement,10
session_01,quad2,static_presence,10
session_01,quad3,empty,10
session_01,quad3,movement,10
session_01,quad3,static_presence,10
session_01,quad4,empty,10
session_01,quad4,movement,10
session_01,quad4,static_presence,10
session_01,quad5,empty,10
session_01,quad5,movement,10
session_01,quad5,static_presence,10
session_02,quad1,empty,10
session_02,quad1,movement,10
session_02,quad1,static_presence,10
session_02,quad2,empty,10
session_02,quad2,movement,10
session_02,quad2,static_presence,10
session_02,quad3,empty,10
session_02,quad3,movement,10
session_02,quad3,static_presence,10
session_02,quad4,empty,10
session_02,quad4,movement,10
session_02,quad4,static_presence,10
session_02,quad5,empty,10
session_02,quad5,movement,10
session_02,quad5,static_presence,10
