seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,class_index,class,precision,recall,f1,support,roc_auc,average_precision
7,100,25,240,60,4026,1013,96,30,gradient_boosting_depth3_20_top30,gradient_boosting,30,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.6304347826086957,0.8579881656804734,0.7268170426065163,338,0.8594674556213017,0.6723406285356179
7,100,25,240,60,4026,1013,96,30,gradient_boosting_depth3_20_top30,gradient_boosting,30,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.6214953271028038,0.39349112426035504,0.48188405797101447,338,0.7505939075169844,0.5675355116882514
7,100,25,240,60,4026,1013,96,30,gradient_boosting_depth3_20_top30,gradient_boosting,30,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",2,movement,0.8938053097345132,0.8991097922848664,0.8964497041420119,337,0.9792614085298403,0.9490337745926889
7,100,25,240,60,4026,1013,96,50,gradient_boosting_depth3_20_top50,gradient_boosting,50,50,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.6264236902050114,0.8136094674556213,0.7078507078507078,338,0.8558974358974359,0.6607250249958883
7,100,25,240,60,4026,1013,96,50,gradient_boosting_depth3_20_top50,gradient_boosting,50,50,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.5864978902953587,0.41124260355029585,0.4834782608695652,338,0.7499057637519176,0.5827863780284519
7,100,25,240,60,4026,1013,96,50,gradient_boosting_depth3_20_top50,gradient_boosting,50,50,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",2,movement,0.8931750741839762,0.8931750741839762,0.8931750741839762,337,0.9811423454427336,0.9566892051596593
7,100,25,240,60,4026,1013,96,70,gradient_boosting_depth3_20_top70,gradient_boosting,70,70,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.6226851851851852,0.7958579881656804,0.6987012987012987,338,0.8625816348893272,0.686542454248932
7,100,25,240,60,4026,1013,96,70,gradient_boosting_depth3_20_top70,gradient_boosting,70,70,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.5761316872427984,0.41420118343195267,0.4819277108433735,338,0.7601797063335525,0.6019014705984087
7,100,25,240,60,4026,1013,96,70,gradient_boosting_depth3_20_top70,gradient_boosting,70,70,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",2,movement,0.8905325443786982,0.8931750741839762,0.8918518518518519,337,0.9802293118887504,0.9521642858934419
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.7891891891891892,0.863905325443787,0.8248587570621468,338,0.9499561691869385,0.874444828952421
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.7973856209150327,0.7218934911242604,0.7577639751552795,338,0.9054635108481262,0.8495548837072967
7,100,25,240,60,4026,1013,96,100,gradient_boosting_depth3_20_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",2,movement,0.9258160237388724,0.9258160237388724,0.9258160237388724,337,0.9851061401506506,0.9569576362142532
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.8010752688172043,0.8816568047337278,0.8394366197183099,338,0.9549112426035503,0.8937097433619385
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.8157894736842105,0.7337278106508875,0.7725856697819314,338,0.9160376944992329,0.8720768283863355
7,100,25,240,60,4026,1013,96,126,gradient_boosting_depth3_20_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",2,movement,0.9376854599406528,0.9376854599406528,0.9376854599406528,337,0.9880076554351834,0.9754857478221172
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.7983870967741935,0.878698224852071,0.8366197183098592,338,0.9469756738987508,0.8504843110001863
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.8033333333333333,0.7130177514792899,0.7554858934169278,338,0.8983168967784353,0.8466719700537332
7,100,25,240,60,4026,1013,96,160,gradient_boosting_depth3_20_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",2,movement,0.9149560117302052,0.9258160237388724,0.9203539823008849,337,0.9860038101592541,0.9728029397119171
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0,empty,0.8151260504201681,0.8609467455621301,0.837410071942446,338,0.9561560376944993,0.9106534445055031
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_topall,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",1,static_presence,0.7886435331230284,0.7396449704142012,0.7633587786259542,338,0.9208766162612315,0.8662251981797265
