family,top_k,feature_index,selected_runs,mean_rank,mean_fisher_score,selection_rate
gradient_boosting,100,133,4,97.0,0.1951110701890427,0.4
gradient_boosting,100,136,1,93.0,0.19182387836064757,0.1
gradient_boosting,100,144,1,100.0,0.18031178337773596,0.1
gradient_boosting,100,155,10,79.3,0.22628096184537344,1.0
gradient_boosting,100,158,6,90.33333333333333,0.19337999257617774,0.6
gradient_boosting,100,166,10,71.1,0.2448510795453896,1.0
gradient_boosting,100,169,10,80.9,0.22267339792380664,1.0
gradient_boosting,100,177,10,70.7,0.2453613893751033,1.0
gradient_boosting,100,180,9,80.88888888888889,0.2163056105181223,0.9
gradient_boosting,100,188,10,60.9,0.26755941177717124,1.0
gradient_boosting,100,191,10,69.1,0.24759322337336673,1.0
gradient_boosting,100,199,10,54.9,0.2784391305984123,1.0
gradient_boosting,100,202,10,60.2,0.2691431137259332,1.0
gradient_boosting,100,210,10,30.7,0.31341746912645985,1.0
gradient_boosting,100,213,10,45.9,0.2938560432663565,1.0
gradient_boosting,100,221,10,34.0,0.3094172526899982,1.0
gradient_boosting,100,224,10,44.3,0.2953228327746261,1.0
gradient_boosting,100,232,10,26.0,0.3185884520349761,1.0
gradient_boosting,100,235,10,48.7,0.2890499519989736,1.0
gradient_boosting,100,243,10,28.1,0.3159576221955863,1.0
gradient_boosting,100,246,10,42.1,0.297833370262582,1.0
gradient_boosting,100,254,10,20.0,0.3287172716767081,1.0
gradient_boosting,100,255,1,97.0,0.18517935706758987,0.1
gradient_boosting,100,257,10,26.9,0.31939894459052254,1.0
gradient_boosting,100,265,10,18.6,0.3301395011342354,1.0
gradient_boosting,100,268,10,36.0,0.3057104385524062,1.0
gradient_boosting,100,276,10,14.8,0.33754477250878023,1.0
gradient_boosting,100,277,1,96.0,0.18687112752123664,0.1
gradient_boosting,100,279,10,19.0,0.329144823933969,1.0
gradient_boosting,100,281,2,98.5,0.18353557709093585,0.2
gradient_boosting,100,287,10,9.8,0.3482810602819,1.0
gradient_boosting,100,288,3,94.0,0.19954103835270962,0.3
gradient_boosting,100,290,10,9.2,0.3539976849223563,1.0
gradient_boosting,100,292,1,100.0,0.18506355852049,0.1
gradient_boosting,100,295,1,99.0,0.18533879428848457,0.1
gradient_boosting,100,298,10,13.7,0.33857369172521035,1.0
gradient_boosting,100,301,10,16.4,0.3347575135436063,1.0
gradient_boosting,100,303,2,90.5,0.20160441445397703,0.2
gradient_boosting,100,306,1,89.0,0.19956926749402662,0.1
gradient_boosting,100,309,10,21.2,0.32730423507973766,1.0
gradient_boosting,100,312,10,25.6,0.3203339317805995,1.0
gradient_boosting,100,320,10,24.0,0.3228237764853911,1.0
gradient_boosting,100,323,10,35.4,0.3082044189248544,1.0
gradient_boosting,100,331,10,20.3,0.3271753124626827,1.0
gradient_boosting,100,334,10,37.2,0.3060367956898754,1.0
gradient_boosting,100,342,10,31.1,0.31254651730518224,1.0
gradient_boosting,100,345,10,39.1,0.30363145631617694,1.0
gradient_boosting,100,353,10,32.8,0.3112769892456987,1.0
gradient_boosting,100,356,10,40.3,0.3027173175379937,1.0
gradient_boosting,100,364,10,26.4,0.31739767464287266,1.0
gradient_boosting,100,367,10,35.4,0.3079028995441519,1.0
gradient_boosting,100,375,10,32.0,0.31196233964016323,1.0
gradient_boosting,100,378,10,39.0,0.30454326711503077,1.0
gradient_boosting,100,386,10,44.9,0.29486361329095534,1.0
gradient_boosting,100,389,10,55.2,0.27681624094507895,1.0
gradient_boosting,100,397,10,54.7,0.2781891117157095,1.0
gradient_boosting,100,400,10,67.6,0.25344130041688584,1.0
gradient_boosting,100,408,10,57.9,0.2723785591519128,1.0
gradient_boosting,100,411,10,55.1,0.27728601312602164,1.0
gradient_boosting,100,419,10,55.5,0.27550372914963134,1.0
gradient_boosting,100,422,10,47.5,0.2916751516841589,1.0
gradient_boosting,100,430,10,66.3,0.25447351671965335,1.0
