seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,class_index,class,precision,recall,f1,support,roc_auc,average_precision
7,100,25,240,60,4026,1013,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.8021978021978022,0.863905325443787,0.8319088319088319,338,0.9584374315143547,0.9071658969589038
7,100,25,240,60,4026,1013,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.7645161290322581,0.7011834319526628,0.7314814814814815,338,0.9168880122726277,0.8595447651969114
7,100,25,240,60,4026,1013,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.9056047197640118,0.9109792284866469,0.908284023668639,337,0.988407107615051,0.9774251988199709
13,100,25,240,60,4028,1011,94,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.8535211267605634,0.8964497041420119,0.8744588744588745,338,0.9770237477689758,0.9514545989142891
13,100,25,240,60,4028,1011,94,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.7972027972027972,0.6785714285714286,0.7331189710610932,336,0.8981437389770722,0.8624098063443295
13,100,25,240,60,4028,1011,94,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.8432432432432433,0.9258160237388724,0.8826025459688827,337,0.9766991872782185,0.9506308660719528
21,100,25,240,60,4033,1006,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.7577197149643705,0.9382352941176471,0.8383705650459922,340,0.9576355767532237,0.8679248485575906
21,100,25,240,60,4033,1006,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.8455284552845529,0.6341463414634146,0.7247386759581882,328,0.917316443629038,0.8625928848032205
21,100,25,240,60,4033,1006,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.9351032448377581,0.9378698224852071,0.9364844903988183,338,0.9875921234454168,0.978350163978155
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.8191214470284238,0.9351032448377581,0.8732782369146006,339,0.949761005302763,0.8508342750253814
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.9081272084805654,0.7581120943952803,0.8263665594855305,339,0.9168507601207827,0.8758740102304106
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.9566473988439307,0.9792899408284024,0.9678362573099415,338,0.9930311916356844,0.9897768967072681
84,100,25,240,60,4025,1014,105,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.7705314009661836,0.9382352941176471,0.8461538461538461,340,0.9444471111886892,0.8466056169030098
84,100,25,240,60,4025,1014,105,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.8725868725868726,0.6706231454005934,0.7583892617449665,337,0.8974748957917853,0.8667090706117129
84,100,25,240,60,4025,1014,105,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.9384164222873901,0.9495548961424333,0.943952802359882,337,0.9842427536390692,0.9521916365220308
126,100,25,240,60,4028,1011,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.7938144329896907,0.913946587537092,0.8496551724137931,337,0.9593110796079916,0.8903212174336411
126,100,25,240,60,4028,1011,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.7748091603053435,0.6023738872403561,0.67779632721202,337,0.8593013938662839,0.8210639252849762
126,100,25,240,60,4028,1011,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.850415512465374,0.9109792284866469,0.8796561604584527,337,0.9657520978436016,0.9055185898970184
168,100,25,240,60,4033,1006,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.7862796833773087,0.8816568047337278,0.8312412831241283,338,0.9361557949190376,0.8282166170840836
168,100,25,240,60,4033,1006,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",1,static_presence,0.7931034482758621,0.6927710843373494,0.7395498392282959,332,0.8878816452754639,0.8309992324272659
168,100,25,240,60,4033,1006,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",2,movement,0.9376854599406528,0.9404761904761905,0.9390787518573551,336,0.9938033049040511,0.9867312840536855
210,100,25,240,60,4028,1011,95,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0,empty,0.7474226804123711,0.855457227138643,0.797799174690509,339,0.918255724118556,0.7934141790346868
