seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction
7,100,25,240,60,4026,1013,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8252714708785784,0.8238914456863174,0.8238081361325342,0.9545775171340112,0.9545441216843755,0.9147119536585954,0.9146500452230955,0.8319088319088319,0.7314814814814815,0.908284023668639,1192.1755000003031,68.43110000045272,67.55291214259893,1013,100,156332,42,160,1532.378
13,100,25,240,60,4028,1011,94,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8338278931750742,0.8300601304962836,0.8301999325767957,0.9506222246747557,0.9507002464440847,0.9214984237768572,0.9215864997338996,0.8744588744588745,0.7331189710610932,0.8826025459688827,1126.76079999801,55.10610000055749,54.506528190462404,1011,100,158908,41,160,1419.636
21,100,25,240,60,4033,1006,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8389662027833003,0.8331979104676662,0.8342863176786517,0.9541813812758928,0.9545546991361545,0.9029559657796553,0.9032875448803712,0.8383705650459922,0.7247386759581882,0.9364844903988183,1141.5138000011211,55.82230000072741,55.48936381782049,1006,100,152304,42,160,1516.432
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.890748031496063,0.8891603512366908,0.8890829143212643,0.9532143190197434,0.9531751291844914,0.9054950606543534,0.9054121060913093,0.8732782369146006,0.8263665594855305,0.9678362573099415,1124.955500003125,62.32580000141752,61.34429133997787,1016,100,155674,39,160,1511.934
84,100,25,240,60,4025,1014,105,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8530571992110454,0.8494986367528982,0.8494887409227234,0.9420549202065146,0.9420619976946275,0.8885021080122512,0.8883781538965434,0.8461538461538461,0.7583892617449665,0.943952802359882,1171.73879999973,57.45529999694554,56.662031555173115,1014,100,158324,40,160,1380.264
126,100,25,240,60,4028,1011,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8090999010880316,0.8023692200280886,0.8023692200280885,0.9281215237726257,0.9281215237726258,0.8723012442052118,0.8723012442052119,0.8496551724137931,0.67779632721202,0.8796561604584527,1193.9079000003403,57.42100000134087,56.79624134652905,1011,100,154122,41,160,1412.676
168,100,25,240,60,4033,1006,99,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8389662027833003,0.8366232914032598,0.8369985695266611,0.9392802483661842,0.9394784049322563,0.8819823778550117,0.8820782039585595,0.8312412831241283,0.7395498392282959,0.9390787518573551,1087.6191000024846,57.708399999683024,57.36421471141454,1006,100,150770,42,160,1479.15
210,100,25,240,60,4028,1011,95,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8358061325420376,0.8337085892788504,0.8333641069194142,0.9301078203591588,0.9299527583234896,0.8655934538996913,0.8652001965447551,0.797799174690509,0.7313915857605178,0.9719350073855244,1166.6212000018277,56.05880000075558,55.44886251311136,1011,100,148920,43,160,1495.01
336,100,25,240,60,4025,1014,96,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8274161735700197,0.8272204161402184,0.827012531646554,0.9481796326169284,0.9480947210611426,0.9068601783478168,0.9067347064309773,0.8044077134986226,0.733229329173167,0.9440242057488654,1154.0664000021934,58.93219999779831,58.11854043175376,1014,100,152522,44,160,1500.47
512,100,25,240,60,4031,1008,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8799603174603174,0.8762322400970866,0.8767750882633829,0.9766093604965086,0.9767598115541903,0.9573205566287806,0.9575860043895551,0.8851540616246498,0.7993366500829188,0.944206008583691,1126.30530000024,55.55900000035763,55.118055555910345,1008,100,154010,41,160,1409.384
