selected_by_policy,family,top_k,parameters_json,accuracy_mean,macro_f1_mean,weighted_f1_mean,roc_auc_ovr_macro_mean,roc_auc_ovr_weighted_mean,average_precision_macro_mean,average_precision_weighted_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,fit_time_ms_mean,prediction_time_ms_mean,prediction_time_us_per_window_mean,actual_tree_count_mean,actual_node_count_mean,actual_max_depth_mean,used_feature_count_mean,mean_comparisons_per_prediction_mean,selected_feature_count_mean,selected_subcarrier_count_mean,train_windows_mean,test_windows_mean,accuracy_std,macro_f1_std,weighted_f1_std,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_std,average_precision_macro_std,average_precision_weighted_std,empty_f1_std,static_presence_f1_std,movement_f1_std,fit_time_ms_std,prediction_time_ms_std,prediction_time_us_per_window_std,actual_tree_count_std,actual_node_count_std,actual_max_depth_std,used_feature_count_std,mean_comparisons_per_prediction_std,selected_feature_count_std,selected_subcarrier_count_std,train_windows_std,test_windows_std,model_name,source_experiment,top_k_sort
True,extra_trees,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",0.8433119524987769,0.840196223158736,0.8403385558016071,0.9476948947922323,0.9477443413787439,0.9017221322818225,0.9017214705354277,0.8432427759833848,0.7455398681188179,0.9318060253740053,1122.7020000005723,56.187960000534076,55.58061788237448,100.0,154188.6,41.5,160.0,1465.7333999999998,160.0,98.0,4028.0,1011.0,0.02370845650965866,0.024195633377983194,0.02424682894545044,0.013265734909750243,0.013323209916742976,0.025354439076653128,0.025469736310006576,0.02748133598320759,0.03918360915093487,0.030212177119588506,55.7329490518535,1.503968377395663,1.619260884386575,0.0,3032.909896452578,1.3601470508735467,0.0,51.77879221496,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,extra_trees_100_top160,classifier_stability_validation,160
False,gradient_boosting,all,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.843622273131746,0.8409304411187205,0.8410265415300852,0.9459302851520006,0.9459645996861528,0.9000802231279851,0.9000401742615775,0.8449862502632814,0.753147492034952,0.9246575810579277,83556.92500185191,12.87170277794724,12.728420876006702,60.0,899.7222222222222,3.0,171.0,179.99966666666668,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.004443323964348041,0.005447930521257362,0.005324548552456214,0.0013016172938668832,0.0013335828942138183,0.00457940572887898,0.004596638304922673,0.0069156621755636135,0.01045851883880502,0.007999392643815276,115.2644069985117,0.2613882301950221,0.24824742774496913,0.0,0.3238015069303428,0.0,1.7576767609436585,0.0003333333333313722,0.0,0.0,1.676504347335073,1.676504347335073,gradient_boosting_depth3_20_all,"classifier_stability_validation,feature_budget_comparison,professor_suggestions_comparison",1000000000
False,xgboost,all,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.842464696071214,0.8384084320783004,0.8385208435521174,0.9456514383845249,0.9456901376789991,0.9000526556214236,0.9000279022933254,0.8463948425211397,0.7453256905316641,0.9235047631820971,5034.960020833346,19.195891665882908,18.981052965876074,60.0,895.1111111111112,3.0,140.58333333333334,179.69108545498742,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.008192775258292576,0.009697086206491737,0.009552782419519918,0.0019222825296868907,0.0019234474048470014,0.0062755136033469106,0.006267386333780244,0.005315280984447765,0.018204335707823233,0.010165038925763271,20.473014350208356,0.1513503615757103,0.15993718385158207,0.0,1.6476030138606887,0.0,1.960997720618484,0.1047833510698281,0.0,0.0,1.676504347335073,1.676504347335073,xgboost_depth3_20_all,"feature_budget_comparison,professor_suggestions_comparison",1000000000
False,gradient_boosting,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",0.8392272735644903,0.8372809692865173,0.8374274150763366,0.9440208654705053,0.9440858015691885,0.8952415752778042,0.895263987792856,0.835372226846945,0.7484133972726716,0.9280572837399351,354786.9798299995,10.833390000698273,10.714815930124303,300.0,4359.6,3.0,124.9,899.9736,126.0,98.0,4028.0,1011.0,0.027653616893209998,0.02879949192739391,0.028698595718989868,0.014447576679552921,0.014470615180237578,0.027371101660875693,0.02747111769343986,0.03435590994062637,0.0492074497411516,0.02924860140658026,915676.4967535386,0.7052487975906025,0.6853288752287694,0.0,37.339523296367936,0.0,1.220655561573367,0.020587374771909066,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_100_top126,classifier_stability_validation,126
False,gradient_boosting,all,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 10}",0.8374118900360741,0.8333819826243487,0.8335012396809578,0.9418581861151606,0.941901962904006,0.89360439109198,0.8935767872346312,0.8400589840765402,0.738611758839569,0.9214752049569369,41794.07493888892,11.82741666667021,11.694683027787713,30.0,449.72222222222223,3.0,94.41666666666667,89.99966666666667,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.006122335850642896,0.007374294586799684,0.007226448085360764,0.0013362747288099823,0.0013346371030474354,0.004805284633465175,0.004798275428155688,0.0058123752016994955,0.013707893643765628,0.00876543105978106,37.42523329122728,0.5022268767591888,0.49102069598959863,0.0,0.32380150693034443,0.0,0.9857022603955158,0.0003333333333331486,0.0,0.0,1.676504347335073,1.676504347335073,gradient_boosting_depth3_10_all,classifier_stability_validation,1000000000
False,gradient_boosting,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8335982311105887,0.8300560404784019,0.8302150653586258,0.9429352675598537,0.9430008429343673,0.8941888274043823,0.8942255507837729,0.8294735970091619,0.732308490119222,0.9283860343068214,12423.758209999869,5.0374300004477846,4.982983057529127,60.0,899.4,3.0,87.1,179.99939999999998,160.0,98.0,4028.0,1011.0,0.02146328452809674,0.02226237243233285,0.02220209319339004,0.012943116411448278,0.01297242984380968,0.026476788025266835,0.026580364983676594,0.03482799624717724,0.03875047106000081,0.02570298631456342,148.08771254646953,0.4400361920480767,0.4391156911666124,0.0,0.9165151389911526,0.0,4.742362280551752,0.0012806248474857014,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_20_top160,feature_budget_comparison,160
False,gradient_boosting,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8328046588535123,0.8293595984731628,0.8295213929781259,0.9408750860410912,0.9409454388449371,0.8877111956040171,0.8877171808755968,0.8262155948912173,0.7311317713112045,0.9307314292170666,9835.765149999497,4.499399999258458,4.450581679333178,60.0,898.4,3.0,73.4,179.999,126.0,98.0,4028.0,1011.0,0.022073096753607788,0.022978809201424283,0.02288742974930102,0.014441345301571304,0.014455351022826354,0.0296697414897316,0.029770764883795507,0.03407739364211192,0.04002052770433766,0.02328972562759382,64.92896799827025,0.13423457165811187,0.13691810801176102,0.0,2.939387691339816,0.0,4.651881339845204,0.0020493901531882758,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_20_top126,feature_budget_comparison,126
False,gradient_boosting,all,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 5}",0.8321393318850566,0.8270697271000409,0.8272109545490102,0.9356042970216109,0.9356692167935893,0.8833788674767299,0.8833800467527467,0.8373971610863258,0.7261948267041961,0.9176171935096006,21008.684561111495,10.986413889339827,10.864873667178562,15.0,224.7222222222222,3.0,54.72222222222222,44.99966666666666,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.005836441964939762,0.007337708189029146,0.007168592255482743,0.0029115231766363666,0.0028995715571613783,0.005154871798701903,0.005124220494363503,0.006734264999146451,0.01500075557308444,0.009763581262582704,85.27449645059797,0.3072699724076072,0.2908435141965016,0.0,0.32380150693034365,0.0,1.7494854201795578,0.00033333333333344467,0.0,0.0,1.676504347335073,1.676504347335073,gradient_boosting_depth3_5_all,classifier_stability_validation,1000000000
False,xgboost,all,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8286254448375866,0.8229269286330658,0.8230569200742274,0.939900296011983,0.9399542880432192,0.8919894759714336,0.8919775686163501,0.8332652732784047,0.7177169938839657,0.917798518736827,3443.1990388884515,18.65253055671524,18.445304923104654,60.0,420.0,2.0,60.77777777777778,120.0,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.009130879664477879,0.011143047084232359,0.0109813744323835,0.003703455371362123,0.0037001857521993396,0.0047680037044209415,0.004778310785901227,0.002353451079793809,0.021803523015338378,0.010914417054757973,5.7465167827695725,0.26394373435964075,0.2745593630097607,0.0,0.0,0.0,1.3240370364444252,0.0,0.0,0.0,1.676504347335073,1.676504347335073,xgboost_depth2_20_all,professor_suggestions_comparison,1000000000
False,xgboost,160,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8279569516017748,0.8225221093874875,0.8227198436722041,0.9411882740756381,0.9412538326984278,0.8908914173847553,0.8909179426022075,0.8251677613666872,0.7147814053880917,0.9276171614076839,676.4413399996556,6.426810000266414,6.355957900648589,60.0,893.0,3.0,79.0,179.55670992809218,160.0,98.0,4028.0,1011.0,0.02121426369989415,0.02308088481915123,0.02291083898706195,0.013950347835661465,0.013978633608331417,0.028528525088907193,0.028651251557698768,0.03444360872321294,0.04307929196783148,0.025319171865434944,6.34828180677039,0.925819610221796,0.9076860760556424,0.0,6.212889826803631,0.0,3.5213633723318,0.39522119958459806,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,xgboost_depth3_20_top160,feature_budget_comparison,160
False,xgboost,all,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8264820300717092,0.8205226913073397,0.8206571117574587,0.9341508134261777,0.9342235363426888,0.8830855284763146,0.8830959254234821,0.8332528963327936,0.714833650657099,0.9134815269321264,2315.1540222221834,18.22476944380469,18.021190992447966,30.0,210.0,2.0,36.69444444444444,60.0,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.007988153820586477,0.010139395620548134,0.009981198752285663,0.0032754395463616363,0.0032643481649167762,0.004940766778062604,0.004946741906028868,0.003009600391096344,0.02155442269405119,0.009560344817124788,21.66406044417074,0.255792698058352,0.2267695723279324,0.0,0.0,0.0,1.3945736259468127,0.0,0.0,0.0,1.676504347335073,1.676504347335073,xgboost_depth2_10_all,professor_suggestions_comparison,1000000000
False,xgboost,126,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8259699797866453,0.8204222690224933,0.8206276534445491,0.9391660547915055,0.9392485856462395,0.8857591666127871,0.8857756454690513,0.823404616614489,0.7110139221400105,0.9268482683129804,534.173579999333,5.712870000206749,5.65148205858097,60.0,894.6,3.0,64.1,179.65866985901022,126.0,98.0,4028.0,1011.0,0.025133575140394264,0.026834330066050908,0.026686474443836566,0.015236643782052568,0.015216889396274075,0.031070887049180915,0.031137744791782145,0.03638154417555247,0.04872287174240906,0.026560677185456766,28.833060939114624,0.8275237838027196,0.8237400724908772,0.0,5.370288632839035,0.0,5.48543526076099,0.34146989226609226,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,xgboost_depth3_20_top126,feature_budget_comparison,126
False,gradient_boosting,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8222418513421316,0.8176874184075098,0.8178568790750864,0.9318328500521043,0.9319149152132479,0.8726512397155805,0.8726857345848116,0.8236836264462128,0.7113190066292647,0.918059622147052,7897.566759999972,4.38023999959114,4.332142245012635,60.0,898.4,3.0,64.3,179.997,100.0,98.0,4028.0,1011.0,0.0317293761624386,0.03477741270215663,0.03472661831366115,0.021114565003088254,0.0211299162272327,0.0374150140675183,0.03750985187678944,0.03731050908851412,0.06436049075764616,0.03432981589682493,81.95613737198744,0.5873793482213769,0.5759560158703334,0.0,1.9595917942265355,0.0,4.583666654546335,0.0064652919500949165,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_20_top100,feature_budget_comparison,100
False,xgboost,100,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8190731944551171,0.81186879931698,0.8120799543484752,0.9301464385754341,0.9302392126135496,0.8689471986768733,0.8689789756977391,0.8244980494461698,0.693099523110895,0.9180088253938752,423.8303200003429,4.37497999992047,4.327381184471597,60.0,890.8,3.0,54.0,179.41582064737327,100.0,98.0,4028.0,1011.0,0.029761495377779938,0.03404061333310329,0.033985343980923684,0.02117235838163567,0.02116900499828582,0.038448458078666516,0.038519058890448044,0.03686978591388832,0.06741443717891542,0.034009301229051235,19.24640556297785,0.09081452356002909,0.08870816204825709,0.0,7.332121111929353,0.0,3.9749213828703582,0.46886813092729157,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,xgboost_depth3_20_top100,feature_budget_comparison,100
