seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,true_class,predicted_class,count
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,empty,291
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,static_presence,45
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",empty,movement,2
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,empty,62
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,static_presence,250
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",static_presence,movement,26
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,empty,4
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,static_presence,22
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",movement,movement,311
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",empty,empty,264
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",empty,static_presence,66
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",empty,movement,8
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",static_presence,empty,72
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",static_presence,static_presence,252
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",static_presence,movement,14
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",movement,empty,8
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",movement,static_presence,28
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",movement,movement,301
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",empty,empty,247
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",empty,static_presence,81
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",empty,movement,10
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",static_presence,empty,72
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",static_presence,static_presence,246
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",static_presence,movement,20
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",movement,empty,8
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",movement,static_presence,30
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",movement,movement,299
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",empty,empty,240
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",empty,static_presence,87
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",empty,movement,11
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",static_presence,empty,73
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",static_presence,static_presence,245
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",static_presence,movement,20
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",movement,empty,11
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",movement,static_presence,31
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",movement,movement,295
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",empty,empty,249
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",empty,static_presence,79
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",empty,movement,10
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",static_presence,empty,70
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",static_presence,static_presence,247
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",static_presence,movement,21
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",movement,empty,8
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",movement,static_presence,30
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",movement,movement,299
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",empty,empty,300
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",empty,static_presence,36
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",empty,movement,2
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",static_presence,empty,76
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",static_presence,static_presence,228
