seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction
7,100,25,240,60,4026,1013,96,1056,gradient_boosting_depth3_20_all,gradient_boosting,all,1056,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.84106614017769,0.8402957312545555,0.8402169330196683,0.9555738400712911,0.9555401628489942,0.9190138859251419,0.9189535215330737,0.837410071942446,0.7633587786259542,0.9201183431952663,82010.28199999928,12.316000000282656,12.157946693270144,1013,60,900,3,171,180.0
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c0_1_all,logistic_regression,all,1056,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.8065153010858835,0.8077189552571555,0.8076158928120776,0.9346798822420826,0.9346339597072378,0.8740491053990769,0.8739500267764659,0.7741935483870968,0.7368421052631579,0.9121212121212121,1139.0930000015942,8.09070000104839,7.986870682180049,1013,0,0,0,1056,3168.0
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.7818361303060217,0.7828895699399295,0.7827760375332583,0.9282179392884711,0.9281711193018052,0.8629314529995175,0.8628293190551435,0.7428571428571429,0.7079136690647482,0.8978978978978979,2274.160299999494,7.725799998297589,7.626653502761687,1013,0,0,0,1056,3168.0
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c10_all,logistic_regression,all,1056,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.769990128331688,0.7713237915135379,0.771206742522627,0.9229283643671531,0.9228776356629649,0.8554232442840174,0.8553141884856179,0.7250755287009063,0.6990014265335235,0.889894419306184,1278.9443000001484,8.189500000298722,8.084402764362016,1013,0,0,0,1056,3168.0
7,100,25,240,60,4026,1013,96,1056,logistic_regression_c1_balanced_all,logistic_regression,all,1056,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.7847976307996052,0.7857464888495711,0.7856371055965717,0.9285760491702818,0.9285292663704084,0.8634408575104229,0.8633388737774703,0.7488721804511278,0.7118155619596542,0.896551724137931,2207.4395999989065,7.745700000668876,7.646298125043312,1013,0,0,0,1056,3168.0
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_10_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8282329713721619,0.8253166948613525,0.8252337333309628,0.9478687830749765,0.9478325414148179,0.9081132976122799,0.9080593121070352,0.8287292817679558,0.7378640776699029,0.9093567251461988,2453.005100000155,20.012699998915195,19.755873641574723,1013,30,210,2,40,60.0
7,100,25,240,60,4026,1013,96,1056,xgboost_depth2_20_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8311944718657454,0.8289005701702573,0.8288153736172541,0.9551084704238475,0.9550758591088152,0.9220113287380496,0.9219575727044175,0.829817158931083,0.7416798732171157,0.9152046783625731,3288.174199999048,19.538299999112496,19.287561697050837,1013,60,420,2,65,120.0
7,100,25,240,60,4026,1013,96,1056,xgboost_depth3_20_all,xgboost,all,1056,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8390918065153011,0.8373238286248363,0.8372432020714099,0.9533982081391348,0.9533627081990663,0.9174375705946242,0.917377208289336,0.8382559774964838,0.7547169811320755,0.9189985272459499,4751.618399997824,18.331300001591444,18.096051334246244,1013,60,896,3,148,179.74895397489541
13,100,25,240,60,4028,1011,94,1034,gradient_boosting_depth3_20_all,gradient_boosting,all,1034,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.837784371909001,0.8353479537824172,0.8354770507106557,0.9514273588291751,0.9515064701387946,0.9257513013059185,0.9258431882276289,0.8813056379821959,0.750788643533123,0.8739495798319328,79451.4257999981,12.913300000946037,12.772799209639997,1011,60,900,3,164,180.0
13,100,25,240,60,4028,1011,94,1034,logistic_regression_c0_1_all,logistic_regression,all,1034,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.8189910979228486,0.8167966207336993,0.8168780907256827,0.9313503833511084,0.9314197219144914,0.87872324980478,0.8787498041109499,0.8132530120481928,0.7308868501529052,0.90625,1310.6004000001121,8.876300002157222,8.779723048622376,1011,0,0,0,1034,3102.0
