feature_index,reduced_subcarrier_index,original_subcarrier,feature_type,rank,fisher_score
829,75,91,peak_to_peak,1,0.3929282000349956
826,75,91,std,2,0.39292599581887816
818,74,90,peak_to_peak,3,0.37791215662110494
840,76,100,peak_to_peak,4,0.37488488278930554
815,74,90,std,5,0.3706280715638326
837,76,100,std,6,0.3686315541084689
290,26,38,peak_to_peak,7,0.3597065327748035
287,26,38,std,8,0.3555056943405359
298,27,39,std,9,0.3446787915376863
851,77,102,peak_to_peak,10,0.34308442114428545
276,25,26,std,11,0.34118034206129166
301,27,39,peak_to_peak,12,0.340548388863092
807,73,87,peak_to_peak,13,0.33943803153604096
265,24,25,std,14,0.3367472498929618
309,28,40,std,15,0.33667881187973736
796,72,86,peak_to_peak,16,0.3358601047981177
331,30,42,std,17,0.3350268746285591
254,23,24,std,18,0.3330878930774286
279,25,26,peak_to_peak,19,0.33056085510408556
320,29,41,std,20,0.32965028673112795
848,77,102,std,21,0.3290864110782967
785,71,85,peak_to_peak,22,0.32839235018927443
312,28,40,peak_to_peak,23,0.3265107625391189
232,21,22,std,24,0.3251308510886998
804,73,87,std,25,0.32436621835002605
364,33,45,std,26,0.3233936884816904
793,72,86,std,27,0.322149023671373
257,23,24,peak_to_peak,28,0.32109242944054045
375,34,46,std,29,0.3194492625921148
342,31,43,std,30,0.3188568458290851
210,19,20,std,31,0.3186936815556348
243,22,23,std,32,0.3183113165860495
353,32,44,std,33,0.31712704132196806
782,71,85,std,34,0.31516595619304466
221,20,21,std,35,0.3138272876117486
323,29,41,peak_to_peak,36,0.31238427867123053
268,24,25,peak_to_peak,37,0.31190234155568297
367,33,45,peak_to_peak,38,0.3116038558537643
334,30,42,peak_to_peak,39,0.31032331814087966
345,31,43,peak_to_peak,40,0.3083656968424043
356,32,44,peak_to_peak,41,0.30766577046641247
378,34,46,peak_to_peak,42,0.30740308593253246
386,35,47,std,43,0.3040389732392317
873,79,105,peak_to_peak,44,0.30317238969238525
862,78,104,peak_to_peak,45,0.29822283201263805
213,19,20,peak_to_peak,46,0.29735099604901494
246,22,23,peak_to_peak,47,0.29577154440651365
224,20,21,peak_to_peak,48,0.2953338561118559
422,38,50,peak_to_peak,49,0.2945610872316926
235,21,22,peak_to_peak,50,0.29136189458960904
397,36,48,std,51,0.28584145160033236
389,35,47,peak_to_peak,52,0.28544202381542166
199,18,19,std,53,0.2851036796402669
870,79,105,std,54,0.2845310130936757
411,37,49,peak_to_peak,55,0.28207444226794376
419,38,50,std,56,0.2819894208713684
408,37,49,std,57,0.27996500892284454
774,70,83,peak_to_peak,58,0.27716256379436555
884,80,108,peak_to_peak,59,0.27676916869105694
859,78,104,std,60,0.2765979438853068
202,18,19,peak_to_peak,61,0.2756441945085136
188,17,18,std,62,0.27480978383114085
771,70,83,std,63,0.26323399495565863
430,39,51,std,64,0.26148838409439085
400,36,48,peak_to_peak,65,0.2591940366207735
433,39,51,peak_to_peak,66,0.2528554549294727
191,17,18,peak_to_peak,67,0.2527247687366747
881,80,108,std,68,0.2521986811963852
177,16,17,std,69,0.25147922677097123
166,15,16,std,70,0.24985588409728415
763,69,82,peak_to_peak,71,0.24499295452216838
752,68,81,peak_to_peak,72,0.24037362635226786
784,71,85,max,73,0.23538021656347435
441,40,52,std,74,0.23048422537449734
155,14,15,std,75,0.2299164599599133
169,15,16,peak_to_peak,76,0.22618914798226095
760,69,82,std,77,0.2257215191397965
839,76,100,max,78,0.22505995848322147
180,16,17,peak_to_peak,79,0.22345272297495852
444,40,52,peak_to_peak,80,0.22198051139529398
773,70,83,max,81,0.21985741763587258
842,76,100,mean_abs_diff,82,0.21951595913537664
795,72,86,max,83,0.21608398881735386
741,67,80,peak_to_peak,84,0.2150033065772178
749,68,81,std,85,0.21467094212176957
452,41,53,std,86,0.21032880512399685
455,41,53,peak_to_peak,87,0.20892929859124432
828,75,91,max,88,0.2088162488745951
906,82,112,peak_to_peak,89,0.20340487621770773
806,73,87,max,90,0.20277984130800644
917,83,113,peak_to_peak,91,0.2022886410731059
850,77,102,max,92,0.20222369302709192
895,81,111,peak_to_peak,93,0.2001625054634775
738,67,80,std,94,0.19806918792705996
158,14,15,peak_to_peak,95,0.19801618648560312
133,12,13,std,96,0.1976149827493541
740,67,80,max,97,0.1968456077693606
751,68,81,max,98,0.19453329413150544
466,42,54,peak_to_peak,99,0.19217451696674687
883,80,108,max,100,0.1921715539445163
144,13,14,std,101,0.19083856249054298
288,26,38,min,102,0.18868497858341335
928,84,114,peak_to_peak,103,0.1882091494784799
838,76,100,min,104,0.18804558590607373
872,79,105,max,105,0.18789176922120662
853,77,102,mean_abs_diff,106,0.18634017333921765
136,12,13,peak_to_peak,107,0.18522496879704442
696,63,76,max,108,0.18434950176201087
477,43,55,peak_to_peak,109,0.1834139364649021
463,42,54,std,110,0.1831360885230395
903,82,112,std,111,0.18296300952863737
817,74,90,max,112,0.18257494065794466
875,79,105,mean_abs_diff,113,0.1821026960423008
474,43,55,std,114,0.18104118657700013
845,76,100,std_diff,115,0.1809389046795599
914,83,113,std,116,0.18092257570347933
147,13,14,peak_to_peak,117,0.1799385457456469
281,25,26,mean_abs_diff,118,0.1790766844294067
827,75,91,min,119,0.1785294766813314
861,78,104,max,120,0.17783168129084792
849,77,102,min,121,0.17674718971560002
843,76,100,max_abs_diff,122,0.17651419745711439
831,75,91,mean_abs_diff,123,0.17638874087603926
303,27,39,mean_abs_diff,124,0.1754610588935359
892,81,111,std,125,0.17497729226109884
916,83,113,max,126,0.17467505473427294
685,62,75,max,127,0.17437574273808293
816,74,90,min,128,0.17320837728331623
299,27,39,min,129,0.17256026162267987
787,71,85,mean_abs_diff,130,0.17241366182163945
730,66,79,peak_to_peak,131,0.17203959518384956
762,69,82,max,132,0.17132687764780388
310,28,40,min,133,0.17048930328650197
277,25,26,min,134,0.17025168599503898
