source_file,file_name,session,quadrant,label,evaluation_count,mean_window_count,accuracy_mean,accuracy_std,mean_confidence
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\static_presence\static_presence_session_01_quad1_p016_20260718_162149.bin,static_presence_session_01_quad1_p016_20260718_162149.bin,session_01,quad1,static_presence,1,17.0,0.0,0.0,0.8382352941176471
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\static_presence\static_presence_session_01_quad1_p024_20260718_162527.bin,static_presence_session_01_quad1_p024_20260718_162527.bin,session_01,quad1,static_presence,1,16.0,0.0,0.0,0.794375
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\static_presence\static_presence_session_01_quad4_p007_20260718_172904.bin,static_presence_session_01_quad4_p007_20260718_172904.bin,session_01,quad4,static_presence,2,17.0,0.0,0.0,0.7752941176470588
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\empty\empty_session_02_quad4_p010_20260719_005919.bin,empty_session_02_quad4_p010_20260719_005919.bin,session_02,quad4,empty,3,17.0,0.0,0.0,0.7770588235294117
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad2\static_presence\static_presence_session_01_quad2_p025_20260718_164459.bin,static_presence_session_01_quad2_p025_20260718_164459.bin,session_01,quad2,static_presence,4,17.0,0.0,0.0,0.8535294117647059
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\static_presence\static_presence_session_02_quad3_p024_20260719_004001.bin,static_presence_session_02_quad3_p024_20260719_004001.bin,session_02,quad3,static_presence,3,17.0,0.0196078431372549,0.03396178054056622,0.7996078431372547
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\empty\empty_session_02_quad4_p018_20260719_011022.bin,empty_session_02_quad4_p018_20260719_011022.bin,session_02,quad4,empty,3,17.0,0.0196078431372549,0.03396178054056622,0.6527450980392157
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad5\static_presence\static_presence_session_01_quad5_p011_20260718_174342.bin,static_presence_session_01_quad5_p011_20260718_174342.bin,session_01,quad5,static_presence,2,17.0,0.029411764705882353,0.04159451654038515,0.8017647058823529
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p025_20260719_005217.bin,static_presence_session_02_quad1_p025_20260719_005217.bin,session_02,quad1,static_presence,3,17.0,0.0392156862745098,0.03396178054056622,0.7935294117647059
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\static_presence\static_presence_session_02_quad3_p029_20260719_004152.bin,static_presence_session_02_quad3_p029_20260719_004152.bin,session_02,quad3,static_presence,3,17.0,0.0392156862745098,0.03396178054056622,0.6992156862745098
