classifier,top_k,train_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
gradient_boosting,126,344,73,0.7123287671232876,0.7541906130268199,0.7166666666666667,0.73092697216991,0.7145370585352011,0.8148148148148148,0.7,0.6779661016949153
extra_trees_100,180,344,73,0.726027397260274,0.7657258064516129,0.7063492063492064,0.7251467104064151,0.7256394316828569,0.7200000000000001,0.7457627118644068,0.7096774193548386
gradient_boosting,150,344,73,0.7123287671232876,0.7553091397849463,0.6952380952380951,0.7143940222343721,0.7123826928406121,0.7200000000000001,0.7457627118644068,0.6774193548387096
gradient_boosting,180,344,73,0.7123287671232876,0.7222222222222222,0.6944444444444445,0.7050264550264549,0.7116764514024787,0.6666666666666665,0.75,0.6984126984126984
random_forest_100,231,344,73,0.6712328767123288,0.7463037634408601,0.6706349206349206,0.6963570127504554,0.6767871846695112,0.8,0.6333333333333334,0.6557377049180327
gradient_boosting,231,344,73,0.684931506849315,0.7200207200207199,0.6706349206349206,0.6875593542260209,0.6861413573742341,0.6923076923076923,0.7037037037037038,0.6666666666666666
custom_decision_tree,126,344,73,0.6575342465753424,0.6786324786324786,0.6595238095238095,0.6675971538040503,0.6583440178149673,0.7142857142857142,0.6551724137931035,0.6333333333333333
custom_decision_tree,150,344,73,0.6575342465753424,0.6790293040293042,0.6587301587301587,0.6674347158218126,0.6584811564926456,0.7142857142857142,0.6428571428571429,0.6451612903225806
custom_decision_tree,180,344,73,0.6575342465753424,0.6790293040293042,0.6587301587301587,0.6674347158218126,0.6584811564926456,0.7142857142857142,0.6428571428571429,0.6451612903225806
extra_trees_100,231,344,73,0.6438356164383562,0.7294117647058824,0.6365079365079365,0.6652298850574713,0.649031648559282,0.7499999999999999,0.6206896551724138,0.625
gradient_boosting,100,344,73,0.6712328767123288,0.7579656862745098,0.638888888888889,0.6637341153470185,0.6689832483027357,0.6363636363636364,0.6774193548387097,0.6774193548387096
logistic_regression,231,344,73,0.6301369863013698,0.6392973856209151,0.6476190476190476,0.6390432098765433,0.6301560121765603,0.6875,0.6000000000000001,0.6296296296296297
extra_trees_100,126,344,73,0.6438356164383562,0.6618686868686868,0.6261904761904762,0.6385727731667665,0.642882678447309,0.6153846153846153,0.6551724137931035,0.6451612903225806
custom_decision_tree,231,344,73,0.6027397260273972,0.6683080808080808,0.6126984126984127,0.633866689484042,0.6083026334142491,0.7692307692307692,0.5517241379310344,0.5806451612903225
linear_svm,180,344,73,0.6301369863013698,0.6362958226768969,0.638095238095238,0.6313653885169406,0.6281526442608326,0.6451612903225806,0.6451612903225806,0.6037735849056605
logistic_regression,180,344,73,0.6301369863013698,0.6309523809523809,0.6158730158730159,0.6177704798394453,0.6308717787225109,0.5517241379310344,0.634920634920635,0.6666666666666665
logistic_regression,126,344,73,0.6438356164383562,0.6503267973856209,0.6047619047619047,0.615301724137931,0.636956778460085,0.5,0.689655172413793,0.65625
random_forest_100,180,344,73,0.589041095890411,0.6224856321839081,0.5912698412698413,0.6038483305036785,0.5911420176601467,0.6666666666666665,0.5964912280701754,0.5483870967741935
linear_svm,231,344,73,0.5753424657534246,0.6030701754385964,0.5928571428571429,0.5838437036593719,0.5714657373012275,0.6451612903225806,0.5757575757575758,0.5306122448979592
logistic_regression,150,344,73,0.6027397260273972,0.604040404040404,0.5698412698412699,0.5789435336976321,0.598966988547047,0.48,0.5901639344262296,0.6666666666666666
knn_3,231,344,73,0.589041095890411,0.5823218176159353,0.5825396825396826,0.5727483564295708,0.5888260578806704,0.4848484848484848,0.6451612903225806,0.588235294117647
extra_trees_100,100,344,73,0.589041095890411,0.6076388888888888,0.5587301587301587,0.5709677419354838,0.5847547503314184,0.5,0.6000000000000001,0.6129032258064516
linear_svm,70,344,73,0.6027397260273972,0.6115079365079364,0.5595238095238094,0.5682079595123072,0.5946661372510091,0.43478260869565216,0.603174603174603,0.6666666666666666
logistic_regression,70,344,73,0.6027397260273972,0.5921581405452373,0.5595238095238094,0.5651183970856102,0.5940377273748034,0.4166666666666667,0.6229508196721312,0.6557377049180327
gradient_boosting,70,344,73,0.6164383561643836,0.6301247771836006,0.561111111111111,0.5644307902372419,0.5990362561286113,0.3809523809523809,0.6774193548387097,0.6349206349206349
linear_svm,126,344,73,0.5753424657534246,0.6177606177606177,0.5452380952380952,0.5614396959302864,0.5703021521339106,0.5217391304347827,0.5357142857142857,0.626865671641791
linear_svm,100,344,73,0.6027397260273972,0.7204391891891891,0.5499999999999999,0.5600365678464151,0.586235533427198,0.4210526315789474,0.6461538461538462,0.6129032258064516
custom_decision_tree,70,344,73,0.5753424657534246,0.596078431372549,0.5492063492063491,0.5594982078853046,0.5693769332744145,0.5,0.6451612903225806,0.5333333333333333
linear_svm,150,344,73,0.5616438356164384,0.5709876543209877,0.5468253968253968,0.5544656144542959,0.5620185387611022,0.5185185185185186,0.5483870967741935,0.5964912280701755
knn_3,100,344,73,0.589041095890411,0.5509979215185435,0.5484126984126984,0.5491589625064202,0.5939039512843785,0.3125,0.6909090909090909,0.6440677966101694
custom_decision_tree,100,344,73,0.547945205479452,0.5755883962780515,0.5261904761904762,0.5372163931485966,0.5430565229729382,0.5,0.603174603174603,0.5084745762711865
logistic_regression,100,344,73,0.589041095890411,0.5464646464646464,0.5373015873015873,0.5366976829045794,0.5779787210113144,0.32,0.6551724137931035,0.6349206349206349
knn_5,150,344,73,0.5616438356164384,0.5431585677749361,0.5373015873015873,0.5345911949685535,0.5627527326390916,0.38709677419354843,0.6129032258064516,0.6037735849056605
random_forest_100,126,344,73,0.5616438356164384,0.559041394335512,0.5238095238095237,0.5311302681992337,0.5540859707132735,0.4166666666666667,0.5517241379310344,0.625
random_forest_100,150,344,73,0.5753424657534246,0.5756613756613757,0.5253968253968254,0.5301288749564611,0.561858547687551,0.36363636363636365,0.6206896551724138,0.606060606060606
extra_trees_100,150,344,73,0.5616438356164384,0.5906120023767083,0.515079365079365,0.5221344002081707,0.5483823104808957,0.3809523809523809,0.6229508196721312,0.5625
knn_5,231,344,73,0.5342465753424658,0.5407925407925408,0.5142857142857143,0.5199175824175825,0.5307466506096643,0.4615384615384615,0.5625000000000001,0.5357142857142857
random_forest_100,100,344,73,0.5342465753424658,0.5184619302266361,0.5015873015873016,0.5061813186813187,0.5293730242360379,0.3846153846153846,0.5714285714285714,0.5625
knn_3,180,344,73,0.5068493150684932,0.4920634920634921,0.4984126984126984,0.4903723351999214,0.5120150672819543,0.3888888888888889,0.4615384615384615,0.6206896551724138
knn_5,180,344,73,0.5068493150684932,0.4905615292712067,0.4904761904761905,0.4895628902765388,0.5065193748243374,0.4000000000000001,0.5423728813559322,0.5263157894736842
extra_trees_100,70,344,73,0.547945205479452,0.5169312169312169,0.4912698412698413,0.4883315917798676,0.5299523339202129,0.27272727272727276,0.5862068965517241,0.606060606060606
knn_5,126,344,73,0.5068493150684932,0.4885964912280702,0.4912698412698413,0.48588886384694363,0.5104584425488035,0.35294117647058826,0.5862068965517241,0.5185185185185186
random_forest_100,70,344,73,0.5342465753424658,0.5246583481877599,0.4801587301587302,0.47894711163153786,0.5165037214077187,0.28571428571428575,0.5573770491803278,0.59375
knn_3,126,344,73,0.4931506849315068,0.48428383210991904,0.4793650793650794,0.47468492751511615,0.502930431077239,0.3243243243243243,0.5714285714285714,0.5283018867924527
