classifier,top_k,estimated_model_units,max_depth,train_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
gradient_boosting_depth3_5,231,5,3,344,73,0.726027397260274,0.7496159754224271,0.7380952380952381,0.7434655037820668,0.7269798740872098,0.8275862068965518,0.7142857142857143,0.6885245901639343
gradient_boosting_depth3_20,231,20,3,344,73,0.7123287671232876,0.7521367521367521,0.7253968253968255,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
gradient_boosting_30,231,30,2,344,73,0.7123287671232876,0.7376068376068375,0.7166666666666667,0.7255062944718116,0.7131722788312301,0.7857142857142856,0.7241379310344827,0.6666666666666666
gradient_boosting_depth3_10,231,10,3,344,73,0.7123287671232876,0.7256393298059964,0.7150793650793651,0.7197357333063673,0.7125354448072232,0.7586206896551724,0.6909090909090909,0.7096774193548386
custom_tree_depth8,150,1,8,344,73,0.6986301369863014,0.7162883313420948,0.7150793650793651,0.7155489319423746,0.6988710368903497,0.8000000000000002,0.6909090909090909,0.6557377049180327
custom_tree_depth10,150,1,10,344,73,0.6986301369863014,0.7162883313420948,0.7150793650793651,0.7155489319423746,0.6988710368903497,0.8000000000000002,0.6909090909090909,0.6557377049180327
custom_tree_depth12,150,1,12,344,73,0.6986301369863014,0.7162883313420948,0.7150793650793651,0.7155489319423746,0.6988710368903497,0.8000000000000002,0.6909090909090909,0.6557377049180327
custom_tree_depth8,180,1,8,344,73,0.6986301369863014,0.7162883313420948,0.7150793650793651,0.7155489319423746,0.6988710368903497,0.8000000000000002,0.6909090909090909,0.6557377049180327
custom_tree_depth10,180,1,10,344,73,0.6986301369863014,0.7162883313420948,0.7150793650793651,0.7155489319423746,0.6988710368903497,0.8000000000000002,0.6909090909090909,0.6557377049180327
custom_tree_depth12,180,1,12,344,73,0.6986301369863014,0.7162883313420948,0.7150793650793651,0.7155489319423746,0.6988710368903497,0.8000000000000002,0.6909090909090909,0.6557377049180327
custom_tree_depth8,126,1,8,344,73,0.6986301369863014,0.7149425287356322,0.7158730158730159,0.7152740608583606,0.698235023360584,0.8000000000000002,0.7017543859649122,0.6440677966101694
custom_tree_depth10,126,1,10,344,73,0.6986301369863014,0.7149425287356322,0.7158730158730159,0.7152740608583606,0.698235023360584,0.8000000000000002,0.7017543859649122,0.6440677966101694
custom_tree_depth12,126,1,12,344,73,0.6986301369863014,0.7149425287356322,0.7158730158730159,0.7152740608583606,0.698235023360584,0.8000000000000002,0.7017543859649122,0.6440677966101694
sklearn_tree_depth6,231,1,6,344,73,0.684931506849315,0.714176245210728,0.7150793650793651,0.7145009416195857,0.6845445398962928,0.8666666666666667,0.6666666666666666,0.6101694915254238
gradient_boosting_5,231,5,2,344,73,0.6986301369863014,0.7440025252525252,0.6936507936507935,0.7121017654944239,0.7009779042631374,0.7692307692307692,0.689655172413793,0.6774193548387096
gradient_boosting_30,126,30,2,344,73,0.684931506849315,0.7039426523297491,0.7047619047619048,0.7031816830211121,0.6839783461439761,0.8000000000000002,0.6779661016949152,0.631578947368421
sklearn_tree_depth6,150,1,6,344,73,0.6712328767123288,0.6954166666666667,0.7023809523809524,0.6977074457293568,0.6702740559784558,0.8387096774193549,0.6415094339622641,0.6129032258064516
random_forest_5,150,5,8,344,73,0.684931506849315,0.7207697893972403,0.6825396825396824,0.6958854723427446,0.6880583399875444,0.7407407407407408,0.6451612903225806,0.7017543859649122
sklearn_tree_depth6,126,1,6,344,73,0.6712328767123288,0.6807407407407408,0.7031746031746032,0.6890413569658852,0.669000681406988,0.7878787878787877,0.6792452830188679,0.6
custom_tree_depth8,231,1,8,344,73,0.6438356164383562,0.6966429936396565,0.669047619047619,0.6812660065464207,0.6474495243273239,0.8571428571428571,0.5964912280701754,0.5901639344262295
custom_tree_depth10,231,1,10,344,73,0.6438356164383562,0.6966429936396565,0.669047619047619,0.6812660065464207,0.6474495243273239,0.8571428571428571,0.5964912280701754,0.5901639344262295
custom_tree_depth12,231,1,12,344,73,0.6438356164383562,0.6966429936396565,0.669047619047619,0.6812660065464207,0.6474495243273239,0.8571428571428571,0.5964912280701754,0.5901639344262295
sklearn_tree_depth8,126,1,8,344,73,0.6575342465753424,0.6932489090442372,0.6698412698412698,0.6800813509182794,0.6597047863314249,0.7857142857142856,0.6315789473684211,0.6229508196721313
sklearn_tree_depth10,126,1,10,344,73,0.6575342465753424,0.6932489090442372,0.6698412698412698,0.6800813509182794,0.6597047863314249,0.7857142857142856,0.6315789473684211,0.6229508196721313
sklearn_tree_depth12,126,1,12,344,73,0.6575342465753424,0.6932489090442372,0.6698412698412698,0.6800813509182794,0.6597047863314249,0.7857142857142856,0.6315789473684211,0.6229508196721313
random_forest_20,150,20,8,344,73,0.6575342465753424,0.7396546106223525,0.6492063492063492,0.6762295081967213,0.6616326072310802,0.7499999999999999,0.6557377049180327,0.6229508196721313
gradient_boosting_30,150,30,2,344,73,0.6575342465753424,0.6802955665024631,0.6706349206349206,0.6750957854406131,0.6581640686506062,0.7586206896551724,0.6666666666666666,0.6
extra_trees_20,231,20,8,344,73,0.6438356164383562,0.6999521072796934,0.6587301587301587,0.6749947687800796,0.6483192735340403,0.8148148148148148,0.6000000000000001,0.6101694915254238
gradient_boosting_30,180,30,2,344,73,0.6575342465753424,0.6940852490421455,0.6595238095238095,0.673436877737953,0.6597928020817989,0.7407407407407408,0.6666666666666666,0.6129032258064516
sklearn_tree_depth8,150,1,8,344,73,0.6575342465753424,0.6731303418803418,0.6698412698412698,0.6709677419354838,0.6582707320665782,0.7333333333333333,0.6666666666666666,0.6129032258064516
sklearn_tree_depth10,150,1,10,344,73,0.6575342465753424,0.6731303418803418,0.6698412698412698,0.6709677419354838,0.6582707320665782,0.7333333333333333,0.6666666666666666,0.6129032258064516
sklearn_tree_depth12,150,1,12,344,73,0.6575342465753424,0.6731303418803418,0.6698412698412698,0.6709677419354838,0.6582707320665782,0.7333333333333333,0.6666666666666666,0.6129032258064516
extra_trees_20,180,20,8,344,73,0.6575342465753424,0.7144692359702501,0.6492063492063492,0.6697430289775834,0.6600897264018813,0.7200000000000001,0.6451612903225806,0.6440677966101694
custom_tree_depth6,126,1,6,344,73,0.6575342465753424,0.6786324786324786,0.6595238095238095,0.6675971538040503,0.6583440178149673,0.7142857142857142,0.6551724137931035,0.6333333333333333
gradient_boosting_depth3_20,126,20,3,344,73,0.6438356164383562,0.7009469696969698,0.6484126984126984,0.6675213675213675,0.6475588338602036,0.7692307692307692,0.6333333333333334,0.6
custom_tree_depth6,150,1,6,344,73,0.6575342465753424,0.6790293040293042,0.6587301587301587,0.6674347158218126,0.6584811564926456,0.7142857142857142,0.6428571428571429,0.6451612903225806
custom_tree_depth6,180,1,6,344,73,0.6575342465753424,0.6790293040293042,0.6587301587301587,0.6674347158218126,0.6584811564926456,0.7142857142857142,0.6428571428571429,0.6451612903225806
