label,quadrant,tested_windows,correct_windows,accuracy
movement,quad4,84,37,0.44047619047619047
empty,quad1,43,19,0.4418604651162791
static_presence,quad2,53,24,0.4528301886792453
static_presence,quad1,55,32,0.5818181818181818
movement,quad1,64,40,0.625
movement,quad3,51,34,0.6666666666666666
static_presence,quad4,72,53,0.7361111111111112
empty,quad3,31,23,0.7419354838709677
movement,quad5,39,29,0.7435897435897436
empty,quad2,77,59,0.7662337662337663
static_presence,quad5,63,49,0.7777777777777778
movement,quad2,63,51,0.8095238095238095
static_presence,quad3,54,44,0.8148148148148148
empty,quad5,108,97,0.8981481481481481
