seed,train_samples,test_samples,train_groups,test_groups,minimum_test_class_samples,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,train_samples_empty,test_samples_empty,train_groups_empty,test_groups_empty,train_samples_static_presence,test_samples_static_presence,train_groups_static_presence,test_groups_static_presence,train_samples_movement,test_samples_movement,train_groups_movement,test_groups_movement,train_samples_quad1,test_samples_quad1,train_groups_quad1,test_groups_quad1,train_samples_quad2,test_samples_quad2,train_groups_quad2,test_groups_quad2,train_samples_quad3,test_samples_quad3,train_groups_quad3,test_groups_quad3,train_samples_quad4,test_samples_quad4,train_groups_quad4,test_groups_quad4,train_samples_quad5,test_samples_quad5,train_groups_quad5,test_groups_quad5
7,322,95,162,41,28,0.5894736842105263,0.5853871175905075,0.5842613051533658,0.696969696969697,0.5846153846153848,0.4745762711864407,87,33,36,9,119,28,62,16,116,34,64,16,64,18,35,10,68,26,36,14,67,4,37,2,53,16,28,8,70,31,26,7
13,321,96,162,41,27,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926,83,37,36,9,115,32,62,16,123,27,64,16,69,13,37,8,77,17,41,9,62,9,33,6,50,19,26,10,63,38,25,8
21,342,75,162,41,15,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625,105,15,36,9,118,29,62,16,119,31,64,16,60,22,32,13,81,13,43,7,57,14,31,8,51,18,28,8,93,8,28,5
42,344,73,162,41,15,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984,105,15,36,9,119,28,62,16,120,30,64,16,65,17,35,10,75,19,39,11,61,10,33,6,60,9,31,5,83,18,24,9
84,325,92,162,41,28,0.6195652173913043,0.6194815396700707,0.620379794391885,0.631578947368421,0.626865671641791,0.6000000000000001,87,33,36,9,116,31,62,16,122,28,64,16,68,14,37,8,75,19,40,10,60,11,33,6,52,17,27,9,70,31,25,8
126,339,78,162,41,16,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182,104,16,36,9,116,31,62,16,119,31,64,16,66,16,36,9,76,18,40,10,52,19,29,10,52,17,28,8,93,8,29,4
168,319,98,162,41,28,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665,80,40,36,9,119,28,62,16,120,30,64,16,61,21,33,12,80,14,43,7,58,13,31,8,47,22,25,11,73,28,30,3
210,338,79,162,41,16,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754,104,16,36,9,116,31,62,16,118,32,64,16,62,20,35,10,69,25,36,14,57,14,32,7,57,12,30,6,93,8,29,4
336,343,74,162,41,17,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625,103,17,36,9,119,28,62,16,121,29,64,16,73,9,40,5,71,23,38,12,49,22,26,13,53,16,27,9,97,4,31,2
512,320,97,162,41,29,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204,83,37,36,9,116,31,62,16,121,29,64,16,70,12,38,7,75,19,40,10,51,20,28,11,59,10,31,5,65,36,25,8
