seed,strategy,test_windows,test_groups,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
7,majority_vote_3,95,41,0.6,0.5949147272114006,0.5937093080538431,0.7164179104477613,0.5937499999999999,0.4745762711864407
13,majority_vote_3,96,41,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926
21,majority_vote_3,75,41,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625
42,majority_vote_3,73,41,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
84,majority_vote_3,92,41,0.6304347826086957,0.6311697092630156,0.6320332480818415,0.6551724137931034,0.6176470588235294,0.6206896551724138
126,majority_vote_3,78,41,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182
168,majority_vote_3,98,41,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665
210,majority_vote_3,79,41,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754
336,majority_vote_3,74,41,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625
512,majority_vote_3,97,41,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204
7,majority_vote_5,95,41,0.6105263157894737,0.6043483306693676,0.6030440841219032,0.7352941176470589,0.603174603174603,0.4745762711864407
13,majority_vote_5,96,41,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926
21,majority_vote_5,75,41,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625
42,majority_vote_5,73,41,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
84,majority_vote_5,92,41,0.6304347826086957,0.6311697092630156,0.6320332480818415,0.6551724137931034,0.6176470588235294,0.6206896551724138
126,majority_vote_5,78,41,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182
168,majority_vote_5,98,41,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665
210,majority_vote_5,79,41,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754
336,majority_vote_5,74,41,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625
512,majority_vote_5,97,41,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204
7,raw_window_prediction,95,41,0.5894736842105263,0.5853871175905075,0.5842613051533658,0.696969696969697,0.5846153846153848,0.4745762711864407
13,raw_window_prediction,96,41,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.65625,0.5925925925925926
21,raw_window_prediction,75,41,0.6533333333333333,0.6758547008547008,0.6570683760683761,0.7692307692307692,0.6333333333333333,0.625
42,raw_window_prediction,73,41,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.8571428571428571,0.6545454545454545,0.6984126984126984
84,raw_window_prediction,92,41,0.6195652173913043,0.6194815396700707,0.620379794391885,0.631578947368421,0.626865671641791,0.6000000000000001
126,raw_window_prediction,78,41,0.7948717948717948,0.8057533863985477,0.7958707958707959,0.8571428571428571,0.7419354838709677,0.8181818181818182
168,raw_window_prediction,98,41,0.7346938775510204,0.7192841880341879,0.7400248560962847,0.8974358974358975,0.5937499999999999,0.6666666666666665
210,raw_window_prediction,79,41,0.569620253164557,0.5643557239601785,0.5713974314655512,0.5294117647058824,0.5671641791044777,0.5964912280701754
336,raw_window_prediction,74,41,0.6486486486486487,0.6477696078431373,0.6479898648648649,0.6470588235294118,0.64,0.65625
512,raw_window_prediction,97,41,0.8247422680412371,0.8134877027734171,0.8189172020909871,0.875,0.8307692307692308,0.7346938775510204
