stage_index,class_index,class_label,node_id,is_leaf,left_child,right_child,model_feature_position,original_feature_index,subcarrier_position,subcarrier_id,feature_type_index,feature_name,threshold,node_value
0,0,empty,0,False,1,6,45,69,6,56,3,max,-0.8617492914199829,3.0670909457270513e-16
0,0,empty,1,False,2,3,186,24,2,25,2,min,-0.3975552022457123,0.5255635491606723
0,0,empty,2,True,-1,-1,,,,,,,,-0.9360269360269359
0,0,empty,3,False,4,5,176,163,14,95,9,std_diff,0.03641787730157375,0.6804841840813075
0,0,empty,4,True,-1,-1,,,,,,,,-0.936026936026936
0,0,empty,5,True,-1,-1,,,,,,,,2.316666666666668
0,0,empty,6,False,7,10,104,220,20,188,0,mean,0.3703221082687378,-0.11525516428961975
0,0,empty,7,False,8,9,210,60,5,49,5,energy,0.053644636645913124,-0.26117403949180956
0,0,empty,8,True,-1,-1,,,,,,,,2.316666666666667
0,0,empty,9,True,-1,-1,,,,,,,,-0.8835641359834907
0,0,empty,10,False,11,12,37,178,16,117,2,min,-0.10138889029622078,0.0628795664766888
0,0,empty,11,True,-1,-1,,,,,,,,-0.30202733550191174
0,0,empty,12,True,-1,-1,,,,,,,,1.8649036662925556
0,1,movement,0,False,1,8,4,224,20,188,4,peak_to_peak,0.37973959743976593,2.6411060921538495e-16
0,1,movement,1,False,2,5,1,202,18,145,4,peak_to_peak,0.3713037222623825,-0.10971223021582704
0,1,movement,2,False,3,4,120,172,15,105,7,max_abs_diff,0.4299607574939728,-0.2538921243957211
0,1,movement,3,True,-1,-1,,,,,,,,-0.8261761369716424
0,1,movement,4,True,-1,-1,,,,,,,,0.40606741573033706
0,1,movement,5,False,6,7,210,60,5,49,5,energy,3.563183069229126,0.08084721034361353
0,1,movement,6,True,-1,-1,,,,,,,,0.7678838951310861
0,1,movement,7,True,-1,-1,,,,,,,,-0.44391415492539077
0,1,movement,8,False,9,12,26,1,0,6,1,std,0.163459412753582,0.4285230639018201
0,1,movement,9,False,10,11,153,158,14,95,4,peak_to_peak,0.627975344657898,0.14028776978417284
0,1,movement,10,True,-1,-1,,,,,,,,1.6465810593900483
0,1,movement,11,True,-1,-1,,,,,,,,-0.8344462279293737
0,1,movement,12,False,13,14,132,185,16,117,9,std_diff,0.045609280467033386,0.5701123311876818
0,1,movement,13,True,-1,-1,,,,,,,,-1.041198501872659
0,1,movement,14,True,-1,-1,,,,,,,,1.7480776302349341
0,2,static_presence,0,False,1,8,18,38,3,34,5,energy,3.9310816526412964,3.1948864017990118e-18
0,2,static_presence,1,False,2,5,227,104,9,70,5,energy,0.452057808637619,-0.12203471423604585
0,2,static_presence,2,False,3,4,2,221,20,188,1,std,0.08403189480304718,0.2771116440181188
0,2,static_presence,3,True,-1,-1,,,,,,,,1.417515474658332
0,2,static_presence,4,True,-1,-1,,,,,,,,-0.514196789827042
0,2,static_presence,5,False,6,7,69,139,12,83,7,max_abs_diff,0.07634827867150307,-0.22228542747197655
0,2,static_presence,6,True,-1,-1,,,,,,,,1.8911564625850337
0,2,static_presence,7,True,-1,-1,,,,,,,,-0.6974075148753551
0,2,static_presence,8,False,9,12,2,221,20,188,1,std,0.17443928122520447,0.22180633871281447
0,2,static_presence,9,False,10,11,60,66,6,56,0,mean,-1.017579436302185,0.4023839751728027
0,2,static_presence,10,True,-1,-1,,,,,,,,-1.0296296296296297
0,2,static_presence,11,True,-1,-1,,,,,,,,1.3629291905887646
0,2,static_presence,12,False,13,14,30,15,1,15,4,peak_to_peak,0.4935157597064972,-0.17860494213324984
0,2,static_presence,13,True,-1,-1,,,,,,,,0.6393909944930352
