original_feature_index,subcarrier_position,subcarrier_id,feature_type_index,feature_name,split_count,split_frequency
69,6,56,3,max,23,0.05489260143198091
38,3,34,5,energy,19,0.045346062052505964
202,18,145,4,peak_to_peak,13,0.031026252983293555
104,9,70,5,energy,11,0.026252983293556086
194,17,134,7,max_abs_diff,11,0.026252983293556086
49,4,42,5,energy,11,0.026252983293556086
78,7,66,1,std,9,0.021479713603818614
225,20,188,5,energy,9,0.021479713603818614
93,8,67,5,energy,9,0.021479713603818614
221,20,188,1,std,8,0.01909307875894988
82,7,66,5,energy,8,0.01909307875894988
24,2,25,2,min,7,0.016706443914081145
172,15,105,7,max_abs_diff,7,0.016706443914081145
200,18,145,2,min,7,0.016706443914081145
29,2,25,7,max_abs_diff,7,0.016706443914081145
190,17,134,3,max,7,0.016706443914081145
220,20,188,0,mean,6,0.014319809069212411
1,0,6,1,std,6,0.014319809069212411
230,20,188,10,slope,6,0.014319809069212411
81,7,66,4,peak_to_peak,6,0.014319809069212411
203,18,145,5,energy,6,0.014319809069212411
27,2,25,5,energy,6,0.014319809069212411
60,5,49,5,energy,5,0.011933174224343675
178,16,117,2,min,5,0.011933174224343675
224,20,188,4,peak_to_peak,5,0.011933174224343675
222,20,188,2,min,5,0.011933174224343675
126,11,78,5,energy,5,0.011933174224343675
205,18,145,7,max_abs_diff,5,0.011933174224343675
124,11,78,3,max,5,0.011933174224343675
84,7,66,7,max_abs_diff,5,0.011933174224343675
137,12,83,5,energy,5,0.011933174224343675
158,14,95,4,peak_to_peak,4,0.00954653937947494
185,16,117,9,std_diff,4,0.00954653937947494
139,12,83,7,max_abs_diff,4,0.00954653937947494
70,6,56,4,peak_to_peak,4,0.00954653937947494
12,1,15,1,std,4,0.00954653937947494
36,3,34,3,max,4,0.00954653937947494
39,3,34,6,mean_abs_diff,4,0.00954653937947494
192,17,134,5,energy,4,0.00954653937947494
66,6,56,0,mean,3,0.007159904534606206
15,1,15,4,peak_to_peak,3,0.007159904534606206
23,2,25,1,std,3,0.007159904534606206
47,4,42,3,max,3,0.007159904534606206
187,17,134,0,mean,3,0.007159904534606206
6,0,6,6,mean_abs_diff,3,0.007159904534606206
157,14,95,3,max,3,0.007159904534606206
168,15,105,3,max,3,0.007159904534606206
191,17,134,4,peak_to_peak,3,0.007159904534606206
41,3,34,8,diff_energy,3,0.007159904534606206
97,8,67,9,std_diff,3,0.007159904534606206
171,15,105,6,mean_abs_diff,3,0.007159904534606206
142,12,83,10,slope,3,0.007159904534606206
163,14,95,9,std_diff,2,0.00477326968973747
204,18,145,6,mean_abs_diff,2,0.00477326968973747
3,0,6,3,max,2,0.00477326968973747
56,5,49,1,std,2,0.00477326968973747
71,6,56,5,energy,2,0.00477326968973747
35,3,34,2,min,2,0.00477326968973747
76,6,56,10,slope,2,0.00477326968973747
51,4,42,7,max_abs_diff,2,0.00477326968973747
141,12,83,9,std_diff,2,0.00477326968973747
112,10,74,2,min,2,0.00477326968973747
68,6,56,2,min,2,0.00477326968973747
5,0,6,5,energy,2,0.00477326968973747
87,7,66,10,slope,2,0.00477326968973747
34,3,34,1,std,2,0.00477326968973747
37,3,34,4,peak_to_peak,2,0.00477326968973747
46,4,42,2,min,2,0.00477326968973747
105,9,70,6,mean_abs_diff,2,0.00477326968973747
110,10,74,0,mean,2,0.00477326968973747
148,13,88,5,energy,2,0.00477326968973747
145,13,88,2,min,2,0.00477326968973747
19,1,15,8,diff_energy,2,0.00477326968973747
59,5,49,4,peak_to_peak,2,0.00477326968973747
13,1,15,2,min,2,0.00477326968973747
101,9,70,2,min,2,0.00477326968973747
80,7,66,3,max,1,0.002386634844868735
96,8,67,8,diff_energy,1,0.002386634844868735
114,10,74,4,peak_to_peak,1,0.002386634844868735
99,9,70,0,mean,1,0.002386634844868735
189,17,134,2,min,1,0.002386634844868735
195,17,134,8,diff_energy,1,0.002386634844868735
55,5,49,0,mean,1,0.002386634844868735
33,3,34,0,mean,1,0.002386634844868735
9,0,6,9,std_diff,1,0.002386634844868735
214,19,181,5,energy,1,0.002386634844868735
143,13,88,0,mean,1,0.002386634844868735
102,9,70,3,max,1,0.002386634844868735
79,7,66,2,min,1,0.002386634844868735
98,8,67,10,slope,1,0.002386634844868735
16,1,15,5,energy,1,0.002386634844868735
113,10,74,3,max,1,0.002386634844868735
64,5,49,9,std_diff,1,0.002386634844868735
30,2,25,8,diff_energy,1,0.002386634844868735
111,10,74,1,std,1,0.002386634844868735
226,20,188,6,mean_abs_diff,1,0.002386634844868735
211,19,181,2,min,1,0.002386634844868735
217,19,181,8,diff_energy,1,0.002386634844868735
2,0,6,2,min,1,0.002386634844868735
123,11,78,2,min,1,0.002386634844868735
193,17,134,6,mean_abs_diff,1,0.002386634844868735
92,8,67,4,peak_to_peak,1,0.002386634844868735
170,15,105,5,energy,1,0.002386634844868735
31,2,25,9,std_diff,1,0.002386634844868735
25,2,25,3,max,1,0.002386634844868735
67,6,56,1,std,1,0.002386634844868735
216,19,181,7,max_abs_diff,1,0.002386634844868735
181,16,117,5,energy,1,0.002386634844868735
116,10,74,6,mean_abs_diff,1,0.002386634844868735
8,0,6,8,diff_energy,1,0.002386634844868735
103,9,70,4,peak_to_peak,1,0.002386634844868735
10,0,6,10,slope,1,0.002386634844868735
167,15,105,2,min,1,0.002386634844868735
18,1,15,7,max_abs_diff,1,0.002386634844868735
147,13,88,4,peak_to_peak,1,0.002386634844868735
207,18,145,9,std_diff,1,0.002386634844868735
26,2,25,4,peak_to_peak,1,0.002386634844868735
210,19,181,1,std,1,0.002386634844868735
209,19,181,0,mean,1,0.002386634844868735
136,12,83,4,peak_to_peak,1,0.002386634844868735
121,11,78,0,mean,1,0.002386634844868735
65,5,49,10,slope,1,0.002386634844868735
86,7,66,9,std_diff,1,0.002386634844868735
94,8,67,6,mean_abs_diff,1,0.002386634844868735
156,14,95,2,min,1,0.002386634844868735
138,12,83,6,mean_abs_diff,1,0.002386634844868735
21,1,15,10,slope,1,0.002386634844868735
90,8,67,2,min,1,0.002386634844868735
4,0,6,4,peak_to_peak,1,0.002386634844868735
