classifier,true_label,predicted_label,count,normalized_by_true_class
gradient_boosting_depth3_20,empty,empty,198,0.7644787644787645
gradient_boosting_depth3_20,empty,static_presence,31,0.11969111969111969
gradient_boosting_depth3_20,empty,movement,30,0.11583011583011583
gradient_boosting_depth3_20,static_presence,empty,27,0.09090909090909091
gradient_boosting_depth3_20,static_presence,static_presence,202,0.6801346801346801
gradient_boosting_depth3_20,static_presence,movement,68,0.22895622895622897
gradient_boosting_depth3_20,movement,empty,21,0.06976744186046512
gradient_boosting_depth3_20,movement,static_presence,89,0.2956810631229236
gradient_boosting_depth3_20,movement,movement,191,0.6345514950166113
logistic_regression_c0_1,empty,empty,157,0.6061776061776062
logistic_regression_c0_1,empty,static_presence,76,0.29343629343629346
logistic_regression_c0_1,empty,movement,26,0.10038610038610038
logistic_regression_c0_1,static_presence,empty,50,0.16835016835016836
logistic_regression_c0_1,static_presence,static_presence,175,0.5892255892255892
logistic_regression_c0_1,static_presence,movement,72,0.24242424242424243
logistic_regression_c0_1,movement,empty,35,0.11627906976744186
logistic_regression_c0_1,movement,static_presence,79,0.26245847176079734
logistic_regression_c0_1,movement,movement,187,0.6212624584717608
logistic_regression_c1,empty,empty,166,0.640926640926641
logistic_regression_c1,empty,static_presence,60,0.23166023166023167
logistic_regression_c1,empty,movement,33,0.1274131274131274
logistic_regression_c1,static_presence,empty,41,0.13804713804713806
logistic_regression_c1,static_presence,static_presence,173,0.5824915824915825
logistic_regression_c1,static_presence,movement,83,0.27946127946127947
logistic_regression_c1,movement,empty,30,0.09966777408637874
logistic_regression_c1,movement,static_presence,85,0.2823920265780731
logistic_regression_c1,movement,movement,186,0.6179401993355482
logistic_regression_c10,empty,empty,167,0.6447876447876448
logistic_regression_c10,empty,static_presence,55,0.21235521235521235
logistic_regression_c10,empty,movement,37,0.14285714285714285
logistic_regression_c10,static_presence,empty,40,0.13468013468013468
logistic_regression_c10,static_presence,static_presence,171,0.5757575757575758
logistic_regression_c10,static_presence,movement,86,0.2895622895622896
logistic_regression_c10,movement,empty,30,0.09966777408637874
logistic_regression_c10,movement,static_presence,86,0.2857142857142857
logistic_regression_c10,movement,movement,185,0.6146179401993356
logistic_regression_c1_balanced,empty,empty,178,0.6872586872586872
logistic_regression_c1_balanced,empty,static_presence,53,0.20463320463320464
logistic_regression_c1_balanced,empty,movement,28,0.10810810810810811
logistic_regression_c1_balanced,static_presence,empty,47,0.15824915824915825
logistic_regression_c1_balanced,static_presence,static_presence,171,0.5757575757575758
logistic_regression_c1_balanced,static_presence,movement,79,0.265993265993266
logistic_regression_c1_balanced,movement,empty,35,0.11627906976744186
logistic_regression_c1_balanced,movement,static_presence,82,0.2724252491694352
logistic_regression_c1_balanced,movement,movement,184,0.6112956810631229
xgboost_depth2_10,empty,empty,174,0.6718146718146718
xgboost_depth2_10,empty,static_presence,34,0.13127413127413126
xgboost_depth2_10,empty,movement,51,0.1969111969111969
xgboost_depth2_10,static_presence,empty,27,0.09090909090909091
xgboost_depth2_10,static_presence,static_presence,206,0.6936026936026936
xgboost_depth2_10,static_presence,movement,64,0.21548821548821548
xgboost_depth2_10,movement,empty,36,0.11960132890365449
xgboost_depth2_10,movement,static_presence,101,0.33554817275747506
xgboost_depth2_10,movement,movement,164,0.5448504983388704
xgboost_depth2_20,empty,empty,193,0.7451737451737451
xgboost_depth2_20,empty,static_presence,28,0.10810810810810811
xgboost_depth2_20,empty,movement,38,0.14671814671814673
xgboost_depth2_20,static_presence,empty,34,0.11447811447811448
xgboost_depth2_20,static_presence,static_presence,203,0.6835016835016835
xgboost_depth2_20,static_presence,movement,60,0.20202020202020202
xgboost_depth2_20,movement,empty,32,0.10631229235880399
xgboost_depth2_20,movement,static_presence,93,0.3089700996677741
xgboost_depth2_20,movement,movement,176,0.584717607973422
xgboost_depth3_20,empty,empty,207,0.7992277992277992
xgboost_depth3_20,empty,static_presence,21,0.08108108108108109
xgboost_depth3_20,empty,movement,31,0.11969111969111969
xgboost_depth3_20,static_presence,empty,29,0.09764309764309764
xgboost_depth3_20,static_presence,static_presence,206,0.6936026936026936
xgboost_depth3_20,static_presence,movement,62,0.20875420875420875
xgboost_depth3_20,movement,empty,31,0.10299003322259136
xgboost_depth3_20,movement,static_presence,87,0.28903654485049834
xgboost_depth3_20,movement,movement,183,0.6079734219269103
