seed,classifier,family,top_k,estimated_model_units,max_depth,n_estimators,c,class_weight,train_samples,test_samples,accuracy,macro_f1,weighted_f1,empty_precision,empty_recall,empty_f1,empty_support,static_presence_precision,static_presence_recall,static_presence_f1,static_presence_support,movement_precision,movement_recall,movement_f1,movement_support,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_roc_auc,empty_average_precision,static_presence_roc_auc,static_presence_average_precision,movement_roc_auc,movement_average_precision,fit_time_ms,prediction_time_ms
7,gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,322,95,0.5894736842105263,0.5853871175905074,0.5842613051533658,0.696969696969697,0.696969696969697,0.696969696969697,33,0.5135135135135135,0.6785714285714286,0.5846153846153846,28,0.56,0.4117647058823529,0.4745762711864407,34,0.8080164841604479,0.8085668958223163,0.6924571798961278,0.6998747154069536,0.8895405669599218,0.8499765757465086,0.7857142857142857,0.5487596349996537,0.748794599807136,0.6786353289422208,1490.8801000000267,6.227099999989605
7,logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,322,95,0.5789473684210527,0.5791951634434457,0.5856226646122309,0.8214285714285714,0.696969696969697,0.7540983606557377,33,0.43333333333333335,0.4642857142857143,0.4482758620689655,28,0.5135135135135135,0.5588235294117647,0.5352112676056338,34,0.724283983554132,0.730530237288051,0.6204838316026607,0.6301570816214467,0.8465298142717498,0.8054728608881204,0.6050106609808102,0.43649253475763833,0.721311475409836,0.6194860991622233,87.84100000002582,7.400099999983922
7,logistic_regression_c1,logistic_regression,231,1,,,1.0,,322,95,0.5578947368421052,0.556066411238825,0.5653639846743295,0.8148148148148148,0.6666666666666666,0.7333333333333333,33,0.36666666666666664,0.39285714285714285,0.3793103448275862,28,0.5263157894736842,0.5882352941176471,0.5555555555555556,34,0.7105474358690578,0.7184602883880024,0.6068541645966086,0.6188011384408786,0.8607038123167156,0.8173420030380367,0.5602345415778252,0.3826124389887618,0.7107039537126325,0.6206080517630274,101.36039999997593,6.999500000006265
7,logistic_regression_c10,logistic_regression,231,1,,,10.0,,322,95,0.5578947368421052,0.5555057391202239,0.5649879885738701,0.8076923076923077,0.6363636363636364,0.711864406779661,33,0.36666666666666664,0.39285714285714285,0.3793103448275862,28,0.5384615384615384,0.6176470588235294,0.5753424657534246,34,0.7004990983432601,0.7091065588309946,0.6020988891521667,0.6125858158007312,0.8651026392961877,0.8079370812780615,0.5367803837953092,0.401749518528911,0.6996142719382835,0.5966100676495273,135.92180000000553,8.768699999961882
7,logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,322,95,0.5684210526315789,0.5586419753086419,0.5685185185185184,0.7741935483870968,0.7272727272727273,0.75,33,0.38461538461538464,0.35714285714285715,0.37037037037037035,28,0.5263157894736842,0.5882352941176471,0.5555555555555556,34,0.7146739247987989,0.7223573191406102,0.6091398529060507,0.6211111333370393,0.8602150537634409,0.8140545775040735,0.5687633262260128,0.385442125315725,0.7150433944069431,0.6279228558983534,95.93229999995856,7.377899999994497
7,xgboost_depth2_10,xgboost,231,10,2,10,,,322,95,0.5368421052631579,0.5318704284221526,0.5283176593521421,0.6060606060606061,0.6060606060606061,0.6060606060606061,33,0.5,0.6785714285714286,0.5757575757575758,28,0.5,0.35294117647058826,0.41379310344827586,34,0.79103466041565,0.7896858771632113,0.6711469475737998,0.6768093228245222,0.8279569892473119,0.7909046517020123,0.8062366737739872,0.5615330554159936,0.7389103182256509,0.6610031356033935,542.6726999999687,8.928500000024542
7,xgboost_depth2_20,xgboost,231,20,2,20,,,322,95,0.5894736842105263,0.5871095451126331,0.5874238468414594,0.6875,0.6666666666666666,0.676923076923077,33,0.48717948717948717,0.6785714285714286,0.5671641791044776,28,0.625,0.4411764705882353,0.5172413793103449,34,0.8019252361541446,0.8007859613674233,0.6960866566975895,0.700307762277508,0.8475073313782991,0.8167316143052339,0.8123667377398721,0.6091449920809394,0.7459016393442623,0.6623833637065953,384.9778999999671,6.380300000046191
7,xgboost_depth3_20,xgboost,231,20,3,20,,,322,95,0.6,0.5913342867736638,0.5924517634464359,0.7027027027027027,0.7878787878787878,0.7428571428571429,33,0.5,0.6071428571428571,0.5483870967741935,28,0.5833333333333334,0.4117647058823529,0.4827586206896552,34,0.7994078779830242,0.798551994958548,0.6761188485034837,0.6819432186571619,0.886119257086999,0.8475791536978268,0.7985074626865671,0.5553229368711867,0.7135969141755062,0.6254544549414376,802.0801999999776,5.317900000022746
13,gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,321,96,0.7291666666666666,0.7135781614948282,0.7291666666666666,0.8918918918918919,0.8918918918918919,0.8918918918918919,37,0.65625,0.65625,0.65625,32,0.5925925925925926,0.5925925925925926,0.5925925925925926,27,0.8841898876536741,0.8922927845200811,0.7652926716429835,0.7822212663204371,0.9848831882730188,0.9785380293526897,0.83837890625,0.6638309740306764,0.8293075684380032,0.6535090115455848,1468.9667999999756,5.361900000025344
13,logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,321,96,0.6458333333333334,0.6499641748268449,0.6438714075312474,0.782608695652174,0.4864864864864865,0.6,37,0.5319148936170213,0.78125,0.6329113924050633,32,0.7307692307692307,0.7037037037037037,0.7169811320754716,27,0.8319433987015166,0.831158036966245,0.7335196952969262,0.7301681490770967,0.853412734768667,0.7037203436680073,0.77392578125,0.7287687111340356,0.868491680085883,0.7680700310887358,77.64040000000705,8.103000000005522
