seed,classifier,true_label,predicted_label,count,normalized_by_true_class
7,gradient_boosting_depth3_20,empty,empty,23,0.696969696969697
7,gradient_boosting_depth3_20,empty,static_presence,4,0.12121212121212122
7,gradient_boosting_depth3_20,empty,movement,6,0.18181818181818182
7,gradient_boosting_depth3_20,static_presence,empty,4,0.14285714285714285
7,gradient_boosting_depth3_20,static_presence,static_presence,19,0.6785714285714286
7,gradient_boosting_depth3_20,static_presence,movement,5,0.17857142857142858
7,gradient_boosting_depth3_20,movement,empty,6,0.17647058823529413
7,gradient_boosting_depth3_20,movement,static_presence,14,0.4117647058823529
7,gradient_boosting_depth3_20,movement,movement,14,0.4117647058823529
7,logistic_regression_c0_1,empty,empty,23,0.696969696969697
7,logistic_regression_c0_1,empty,static_presence,5,0.15151515151515152
7,logistic_regression_c0_1,empty,movement,5,0.15151515151515152
7,logistic_regression_c0_1,static_presence,empty,2,0.07142857142857142
7,logistic_regression_c0_1,static_presence,static_presence,13,0.4642857142857143
7,logistic_regression_c0_1,static_presence,movement,13,0.4642857142857143
7,logistic_regression_c0_1,movement,empty,3,0.08823529411764706
7,logistic_regression_c0_1,movement,static_presence,12,0.35294117647058826
7,logistic_regression_c0_1,movement,movement,19,0.5588235294117647
7,logistic_regression_c1,empty,empty,22,0.6666666666666666
7,logistic_regression_c1,empty,static_presence,8,0.24242424242424243
7,logistic_regression_c1,empty,movement,3,0.09090909090909091
7,logistic_regression_c1,static_presence,empty,2,0.07142857142857142
7,logistic_regression_c1,static_presence,static_presence,11,0.39285714285714285
7,logistic_regression_c1,static_presence,movement,15,0.5357142857142857
7,logistic_regression_c1,movement,empty,3,0.08823529411764706
7,logistic_regression_c1,movement,static_presence,11,0.3235294117647059
7,logistic_regression_c1,movement,movement,20,0.5882352941176471
7,logistic_regression_c10,empty,empty,21,0.6363636363636364
7,logistic_regression_c10,empty,static_presence,9,0.2727272727272727
7,logistic_regression_c10,empty,movement,3,0.09090909090909091
7,logistic_regression_c10,static_presence,empty,2,0.07142857142857142
7,logistic_regression_c10,static_presence,static_presence,11,0.39285714285714285
7,logistic_regression_c10,static_presence,movement,15,0.5357142857142857
7,logistic_regression_c10,movement,empty,3,0.08823529411764706
7,logistic_regression_c10,movement,static_presence,10,0.29411764705882354
7,logistic_regression_c10,movement,movement,21,0.6176470588235294
7,logistic_regression_c1_balanced,empty,empty,24,0.7272727272727273
7,logistic_regression_c1_balanced,empty,static_presence,6,0.18181818181818182
7,logistic_regression_c1_balanced,empty,movement,3,0.09090909090909091
7,logistic_regression_c1_balanced,static_presence,empty,3,0.10714285714285714
7,logistic_regression_c1_balanced,static_presence,static_presence,10,0.35714285714285715
7,logistic_regression_c1_balanced,static_presence,movement,15,0.5357142857142857
7,logistic_regression_c1_balanced,movement,empty,4,0.11764705882352941
7,logistic_regression_c1_balanced,movement,static_presence,10,0.29411764705882354
7,logistic_regression_c1_balanced,movement,movement,20,0.5882352941176471
7,xgboost_depth2_10,empty,empty,20,0.6060606060606061
7,xgboost_depth2_10,empty,static_presence,7,0.21212121212121213
7,xgboost_depth2_10,empty,movement,6,0.18181818181818182
7,xgboost_depth2_10,static_presence,empty,3,0.10714285714285714
