classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
gradient_boosting_top30,gradient_boosting,30,empty,empty,145,0.5598455598455598
gradient_boosting_top30,gradient_boosting,30,empty,static_presence,70,0.2702702702702703
gradient_boosting_top30,gradient_boosting,30,empty,movement,44,0.16988416988416988
gradient_boosting_top30,gradient_boosting,30,static_presence,empty,60,0.20202020202020202
gradient_boosting_top30,gradient_boosting,30,static_presence,static_presence,173,0.5824915824915825
gradient_boosting_top30,gradient_boosting,30,static_presence,movement,64,0.21548821548821548
gradient_boosting_top30,gradient_boosting,30,movement,empty,40,0.132890365448505
gradient_boosting_top30,gradient_boosting,30,movement,static_presence,76,0.25249169435215946
gradient_boosting_top30,gradient_boosting,30,movement,movement,185,0.6146179401993356
gradient_boosting_top50,gradient_boosting,50,empty,empty,165,0.637065637065637
gradient_boosting_top50,gradient_boosting,50,empty,static_presence,52,0.20077220077220076
gradient_boosting_top50,gradient_boosting,50,empty,movement,42,0.16216216216216217
gradient_boosting_top50,gradient_boosting,50,static_presence,empty,31,0.10437710437710437
gradient_boosting_top50,gradient_boosting,50,static_presence,static_presence,193,0.6498316498316499
gradient_boosting_top50,gradient_boosting,50,static_presence,movement,73,0.24579124579124578
gradient_boosting_top50,gradient_boosting,50,movement,empty,31,0.10299003322259136
gradient_boosting_top50,gradient_boosting,50,movement,static_presence,77,0.2558139534883721
gradient_boosting_top50,gradient_boosting,50,movement,movement,193,0.6411960132890365
gradient_boosting_top70,gradient_boosting,70,empty,empty,176,0.6795366795366795
gradient_boosting_top70,gradient_boosting,70,empty,static_presence,50,0.19305019305019305
gradient_boosting_top70,gradient_boosting,70,empty,movement,33,0.1274131274131274
gradient_boosting_top70,gradient_boosting,70,static_presence,empty,32,0.10774410774410774
gradient_boosting_top70,gradient_boosting,70,static_presence,static_presence,195,0.6565656565656566
gradient_boosting_top70,gradient_boosting,70,static_presence,movement,70,0.2356902356902357
gradient_boosting_top70,gradient_boosting,70,movement,empty,24,0.07973421926910298
gradient_boosting_top70,gradient_boosting,70,movement,static_presence,92,0.30564784053156147
gradient_boosting_top70,gradient_boosting,70,movement,movement,185,0.6146179401993356
gradient_boosting_top100,gradient_boosting,100,empty,empty,181,0.6988416988416989
gradient_boosting_top100,gradient_boosting,100,empty,static_presence,42,0.16216216216216217
gradient_boosting_top100,gradient_boosting,100,empty,movement,36,0.138996138996139
gradient_boosting_top100,gradient_boosting,100,static_presence,empty,35,0.11784511784511785
gradient_boosting_top100,gradient_boosting,100,static_presence,static_presence,189,0.6363636363636364
gradient_boosting_top100,gradient_boosting,100,static_presence,movement,73,0.24579124579124578
gradient_boosting_top100,gradient_boosting,100,movement,empty,19,0.06312292358803986
gradient_boosting_top100,gradient_boosting,100,movement,static_presence,84,0.27906976744186046
gradient_boosting_top100,gradient_boosting,100,movement,movement,198,0.6578073089700996
gradient_boosting_top126,gradient_boosting,126,empty,empty,195,0.752895752895753
gradient_boosting_top126,gradient_boosting,126,empty,static_presence,29,0.11196911196911197
gradient_boosting_top126,gradient_boosting,126,empty,movement,35,0.13513513513513514
gradient_boosting_top126,gradient_boosting,126,static_presence,empty,33,0.1111111111111111
gradient_boosting_top126,gradient_boosting,126,static_presence,static_presence,196,0.6599326599326599
gradient_boosting_top126,gradient_boosting,126,static_presence,movement,68,0.22895622895622897
gradient_boosting_top126,gradient_boosting,126,movement,empty,22,0.07308970099667775
gradient_boosting_top126,gradient_boosting,126,movement,static_presence,80,0.26578073089701
gradient_boosting_top126,gradient_boosting,126,movement,movement,199,0.6611295681063123
gradient_boosting_top160,gradient_boosting,160,empty,empty,197,0.7606177606177607
gradient_boosting_top160,gradient_boosting,160,empty,static_presence,29,0.11196911196911197
gradient_boosting_top160,gradient_boosting,160,empty,movement,33,0.1274131274131274
gradient_boosting_top160,gradient_boosting,160,static_presence,empty,28,0.09427609427609428
gradient_boosting_top160,gradient_boosting,160,static_presence,static_presence,201,0.6767676767676768
gradient_boosting_top160,gradient_boosting,160,static_presence,movement,68,0.22895622895622897
gradient_boosting_top160,gradient_boosting,160,movement,empty,26,0.08637873754152824
gradient_boosting_top160,gradient_boosting,160,movement,static_presence,78,0.2591362126245847
gradient_boosting_top160,gradient_boosting,160,movement,movement,197,0.654485049833887
