seed,classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
7,gradient_boosting_top30,gradient_boosting,30,empty,empty,8,0.24242424242424243
7,gradient_boosting_top30,gradient_boosting,30,empty,static_presence,22,0.6666666666666666
7,gradient_boosting_top30,gradient_boosting,30,empty,movement,3,0.09090909090909091
7,gradient_boosting_top30,gradient_boosting,30,static_presence,empty,5,0.17857142857142858
7,gradient_boosting_top30,gradient_boosting,30,static_presence,static_presence,16,0.5714285714285714
7,gradient_boosting_top30,gradient_boosting,30,static_presence,movement,7,0.25
7,gradient_boosting_top30,gradient_boosting,30,movement,empty,1,0.029411764705882353
7,gradient_boosting_top30,gradient_boosting,30,movement,static_presence,18,0.5294117647058824
7,gradient_boosting_top30,gradient_boosting,30,movement,movement,15,0.4411764705882353
7,xgboost_top30,xgboost,30,empty,empty,3,0.09090909090909091
7,xgboost_top30,xgboost,30,empty,static_presence,28,0.8484848484848485
7,xgboost_top30,xgboost,30,empty,movement,2,0.06060606060606061
7,xgboost_top30,xgboost,30,static_presence,empty,5,0.17857142857142858
7,xgboost_top30,xgboost,30,static_presence,static_presence,13,0.4642857142857143
7,xgboost_top30,xgboost,30,static_presence,movement,10,0.35714285714285715
7,xgboost_top30,xgboost,30,movement,empty,0,0.0
7,xgboost_top30,xgboost,30,movement,static_presence,20,0.5882352941176471
7,xgboost_top30,xgboost,30,movement,movement,14,0.4117647058823529
7,gradient_boosting_top50,gradient_boosting,50,empty,empty,21,0.6363636363636364
7,gradient_boosting_top50,gradient_boosting,50,empty,static_presence,8,0.24242424242424243
7,gradient_boosting_top50,gradient_boosting,50,empty,movement,4,0.12121212121212122
7,gradient_boosting_top50,gradient_boosting,50,static_presence,empty,5,0.17857142857142858
7,gradient_boosting_top50,gradient_boosting,50,static_presence,static_presence,17,0.6071428571428571
7,gradient_boosting_top50,gradient_boosting,50,static_presence,movement,6,0.21428571428571427
7,gradient_boosting_top50,gradient_boosting,50,movement,empty,4,0.11764705882352941
7,gradient_boosting_top50,gradient_boosting,50,movement,static_presence,13,0.38235294117647056
7,gradient_boosting_top50,gradient_boosting,50,movement,movement,17,0.5
7,xgboost_top50,xgboost,50,empty,empty,16,0.48484848484848486
7,xgboost_top50,xgboost,50,empty,static_presence,13,0.3939393939393939
7,xgboost_top50,xgboost,50,empty,movement,4,0.12121212121212122
7,xgboost_top50,xgboost,50,static_presence,empty,2,0.07142857142857142
7,xgboost_top50,xgboost,50,static_presence,static_presence,16,0.5714285714285714
7,xgboost_top50,xgboost,50,static_presence,movement,10,0.35714285714285715
7,xgboost_top50,xgboost,50,movement,empty,3,0.08823529411764706
7,xgboost_top50,xgboost,50,movement,static_presence,13,0.38235294117647056
7,xgboost_top50,xgboost,50,movement,movement,18,0.5294117647058824
7,gradient_boosting_top70,gradient_boosting,70,empty,empty,21,0.6363636363636364
7,gradient_boosting_top70,gradient_boosting,70,empty,static_presence,9,0.2727272727272727
7,gradient_boosting_top70,gradient_boosting,70,empty,movement,3,0.09090909090909091
7,gradient_boosting_top70,gradient_boosting,70,static_presence,empty,3,0.10714285714285714
7,gradient_boosting_top70,gradient_boosting,70,static_presence,static_presence,18,0.6428571428571429
7,gradient_boosting_top70,gradient_boosting,70,static_presence,movement,7,0.25
7,gradient_boosting_top70,gradient_boosting,70,movement,empty,4,0.11764705882352941
7,gradient_boosting_top70,gradient_boosting,70,movement,static_presence,14,0.4117647058823529
7,gradient_boosting_top70,gradient_boosting,70,movement,movement,16,0.47058823529411764
7,xgboost_top70,xgboost,70,empty,empty,20,0.6060606060606061
7,xgboost_top70,xgboost,70,empty,static_presence,9,0.2727272727272727
7,xgboost_top70,xgboost,70,empty,movement,4,0.12121212121212122
7,xgboost_top70,xgboost,70,static_presence,empty,4,0.14285714285714285
7,xgboost_top70,xgboost,70,static_presence,static_presence,15,0.5357142857142857
7,xgboost_top70,xgboost,70,static_presence,movement,9,0.32142857142857145
7,xgboost_top70,xgboost,70,movement,empty,4,0.11764705882352941
7,xgboost_top70,xgboost,70,movement,static_presence,12,0.35294117647058826
7,xgboost_top70,xgboost,70,movement,movement,18,0.5294117647058824
7,gradient_boosting_top100,gradient_boosting,100,empty,empty,25,0.7575757575757576
7,gradient_boosting_top100,gradient_boosting,100,empty,static_presence,5,0.15151515151515152
7,gradient_boosting_top100,gradient_boosting,100,empty,movement,3,0.09090909090909091
7,gradient_boosting_top100,gradient_boosting,100,static_presence,empty,0,0.0
7,gradient_boosting_top100,gradient_boosting,100,static_presence,static_presence,21,0.75
7,gradient_boosting_top100,gradient_boosting,100,static_presence,movement,7,0.25
7,gradient_boosting_top100,gradient_boosting,100,movement,empty,3,0.08823529411764706
7,gradient_boosting_top100,gradient_boosting,100,movement,static_presence,14,0.4117647058823529
7,gradient_boosting_top100,gradient_boosting,100,movement,movement,17,0.5
7,xgboost_top100,xgboost,100,empty,empty,23,0.696969696969697
7,xgboost_top100,xgboost,100,empty,static_presence,7,0.21212121212121213
7,xgboost_top100,xgboost,100,empty,movement,3,0.09090909090909091
7,xgboost_top100,xgboost,100,static_presence,empty,0,0.0
7,xgboost_top100,xgboost,100,static_presence,static_presence,17,0.6071428571428571
7,xgboost_top100,xgboost,100,static_presence,movement,11,0.39285714285714285
7,xgboost_top100,xgboost,100,movement,empty,5,0.14705882352941177
7,xgboost_top100,xgboost,100,movement,static_presence,9,0.2647058823529412
7,xgboost_top100,xgboost,100,movement,movement,20,0.5882352941176471
7,gradient_boosting_top126,gradient_boosting,126,empty,empty,25,0.7575757575757576
7,gradient_boosting_top126,gradient_boosting,126,empty,static_presence,5,0.15151515151515152
7,gradient_boosting_top126,gradient_boosting,126,empty,movement,3,0.09090909090909091
7,gradient_boosting_top126,gradient_boosting,126,static_presence,empty,3,0.10714285714285714
7,gradient_boosting_top126,gradient_boosting,126,static_presence,static_presence,18,0.6428571428571429
7,gradient_boosting_top126,gradient_boosting,126,static_presence,movement,7,0.25
7,gradient_boosting_top126,gradient_boosting,126,movement,empty,4,0.11764705882352941
7,gradient_boosting_top126,gradient_boosting,126,movement,static_presence,11,0.3235294117647059
7,gradient_boosting_top126,gradient_boosting,126,movement,movement,19,0.5588235294117647
7,xgboost_top126,xgboost,126,empty,empty,25,0.7575757575757576
7,xgboost_top126,xgboost,126,empty,static_presence,6,0.18181818181818182
7,xgboost_top126,xgboost,126,empty,movement,2,0.06060606060606061
7,xgboost_top126,xgboost,126,static_presence,empty,3,0.10714285714285714
7,xgboost_top126,xgboost,126,static_presence,static_presence,16,0.5714285714285714
7,xgboost_top126,xgboost,126,static_presence,movement,9,0.32142857142857145
7,xgboost_top126,xgboost,126,movement,empty,6,0.17647058823529413
7,xgboost_top126,xgboost,126,movement,static_presence,11,0.3235294117647059
7,xgboost_top126,xgboost,126,movement,movement,17,0.5
7,gradient_boosting_top160,gradient_boosting,160,empty,empty,24,0.7272727272727273
7,gradient_boosting_top160,gradient_boosting,160,empty,static_presence,6,0.18181818181818182
7,gradient_boosting_top160,gradient_boosting,160,empty,movement,3,0.09090909090909091
7,gradient_boosting_top160,gradient_boosting,160,static_presence,empty,4,0.14285714285714285
7,gradient_boosting_top160,gradient_boosting,160,static_presence,static_presence,17,0.6071428571428571
7,gradient_boosting_top160,gradient_boosting,160,static_presence,movement,7,0.25
7,gradient_boosting_top160,gradient_boosting,160,movement,empty,8,0.23529411764705882
7,gradient_boosting_top160,gradient_boosting,160,movement,static_presence,11,0.3235294117647059
7,gradient_boosting_top160,gradient_boosting,160,movement,movement,15,0.4411764705882353
7,xgboost_top160,xgboost,160,empty,empty,26,0.7878787878787878
7,xgboost_top160,xgboost,160,empty,static_presence,3,0.09090909090909091
7,xgboost_top160,xgboost,160,empty,movement,4,0.12121212121212122
7,xgboost_top160,xgboost,160,static_presence,empty,3,0.10714285714285714
7,xgboost_top160,xgboost,160,static_presence,static_presence,16,0.5714285714285714
7,xgboost_top160,xgboost,160,static_presence,movement,9,0.32142857142857145
