top_k,feature_index,selection_count,selection_rate,mean_rank_when_selected,mean_fisher_score_when_selected
30,199,10,1.0,1.3,0.20782677704827104
30,202,10,1.0,2.9,0.19581478668210853
30,221,10,1.0,5.3,0.17593063688057978
30,188,10,1.0,6.3,0.16968468002223475
30,224,10,1.0,7.4,0.17018232573066167
30,210,10,1.0,9.2,0.16090082446522017
30,205,10,1.0,9.4,0.1621957485764499
30,213,10,1.0,10,0.15986022000500363
30,67,10,1.0,10.2,0.15609643469465176
30,191,10,1.0,11.1,0.15006003139601273
30,56,10,1.0,13.4,0.144909159111539
30,70,10,1.0,14.4,0.14546989753188747
30,23,10,1.0,17.9,0.1343335617430785
30,26,10,1.0,20.7,0.12914978339290575
30,204,9,0.9,11.444444444444445,0.15140415402491483
30,59,9,0.9,14.555555555555555,0.14443071454236653
30,227,9,0.9,15.333333333333334,0.14486657558029084
30,38,8,0.8,18.625,0.13066784118887692
30,194,8,0.8,21.25,0.12566957351138122
30,37,8,0.8,22.375,0.12640814201641667
30,34,8,0.8,23,0.12611921840800416
30,4,6,0.6,18.5,0.13582996744173684
30,1,6,0.6,19.5,0.1347930315201315
30,45,6,0.6,24.5,0.12255331145395147
30,207,6,0.6,25,0.12093865348691099
30,78,4,0.4,17,0.13575469109125135
30,12,4,0.4,17.25,0.13486105024575873
30,178,4,0.4,21.25,0.12501641693345705
30,226,4,0.4,21.5,0.12721079852517575
30,73,4,0.4,24.25,0.11157530373209582
30,29,4,0.4,24.75,0.12349687127369709
30,62,4,0.4,27.25,0.10763744445245799
30,106,4,0.4,27.25,0.11457838983643323
30,216,3,0.3,14.333333333333334,0.1579444294957226
30,69,3,0.3,14.666666666666666,0.13963975049893707
30,91,3,0.3,15.666666666666666,0.13561501289357808
30,223,3,0.3,15.666666666666666,0.13606142415535646
30,27,3,0.3,17.333333333333332,0.13670181397678352
30,15,3,0.3,18,0.13744736325361906
30,193,3,0.3,24.666666666666668,0.1117107280337567
30,48,3,0.3,28.666666666666668,0.11659038429985559
30,81,2,0.2,18,0.1406352115488406
30,66,2,0.2,20,0.13106381204538683
30,215,2,0.2,21,0.14109061075051
30,80,2,0.2,27,0.11231350368893615
30,72,1,0.1,18,0.11668188745946632
30,176,1,0.1,21,0.1204647268354987
30,103,1,0.1,24,0.14539194399574473
30,167,1,0.1,24,0.11476411786592021
30,229,1,0.1,24,0.11937522681340348
30,100,1,0.1,25,0.14496812758102803
30,68,1,0.1,27,0.11155146758720713
30,218,1,0.1,27,0.14168729783444714
30,28,1,0.1,28,0.1047120802529865
30,40,1,0.1,28,0.10767288487893019
30,203,1,0.1,29,0.11053631682235142
30,58,1,0.1,30,0.11571568673704714
30,84,1,0.1,30,0.11242140686669137
50,199,10,1.0,1.3,0.20782677704827104
50,202,10,1.0,2.9,0.19581478668210853
50,221,10,1.0,5.3,0.17593063688057978
50,188,10,1.0,6.3,0.16968468002223475
50,224,10,1.0,7.4,0.17018232573066167
50,210,10,1.0,9.2,0.16090082446522017
50,205,10,1.0,9.4,0.1621957485764499
50,213,10,1.0,10,0.15986022000500363
50,67,10,1.0,10.2,0.15609643469465176
50,191,10,1.0,11.1,0.15006003139601273
50,56,10,1.0,13.4,0.144909159111539
50,204,10,1.0,13.4,0.14651623508368572
50,70,10,1.0,14.4,0.14546989753188747
50,59,10,1.0,16.2,0.14063830985609313
50,23,10,1.0,17.9,0.1343335617430785
50,227,10,1.0,17.9,0.14019464511689878
50,26,10,1.0,20.7,0.12914978339290575
50,38,10,1.0,23.1,0.12670776321122093
50,194,10,1.0,23.6,0.1227485469512282
50,4,10,1.0,25,0.12259960590342016
50,37,10,1.0,25.3,0.12187109037372937
50,1,10,1.0,26.3,0.12106019399846772
50,34,10,1.0,26.3,0.12125798910368374
50,12,10,1.0,29.3,0.11836290815537957
50,193,10,1.0,34.7,0.10759142690842094
50,15,10,1.0,35.8,0.11170543288053086
50,45,9,0.9,27.88888888888889,0.11724206970891411
50,207,9,0.9,29.333333333333332,0.11472333714583241
50,216,9,0.9,29.555555555555557,0.12177033611806394
50,78,9,0.9,30.444444444444443,0.11656993726161845
50,62,9,0.9,34.111111111111114,0.10800626970796154
50,106,9,0.9,35,0.10918795457792568
50,226,8,0.8,27.625,0.11664208811395466
50,178,8,0.8,30.625,0.11235729395234786
50,73,8,0.8,31.25,0.11081245436854253
50,27,8,0.8,35.125,0.1053485775613105
50,48,8,0.8,35.625,0.10752512645128795
50,29,7,0.7,30.142857142857142,0.11261288555149074
50,215,7,0.7,34,0.11183016745317757
50,81,7,0.7,34.714285714285715,0.10706615658850713
50,100,7,0.7,36.57142857142857,0.10903774507361834
50,103,7,0.7,37.142857142857146,0.10818842768961665
50,72,7,0.7,37.714285714285715,0.10554310039967553
50,229,7,0.7,39.285714285714285,0.10028985693865974
50,69,6,0.6,26.666666666666668,0.12312690122611711
50,61,6,0.6,44.5,0.09079313232914837
50,223,5,0.5,28,0.11733220704712129
50,28,5,0.5,37.8,0.10326440140073431
50,84,5,0.5,38,0.1009575170397938
50,66,4,0.4,30.25,0.11184707787645996
50,176,4,0.4,39.5,0.09841209249945747
50,196,4,0.4,41,0.09520267635036281
50,91,3,0.3,15.666666666666666,0.13561501289357808
50,80,3,0.3,28.333333333333332,0.11289884085966838
50,68,3,0.3,34,0.1060066139254843
50,212,3,0.3,34.333333333333336,0.1047375289500058
50,40,3,0.3,37.333333333333336,0.10352798753789441
50,58,3,0.3,37.333333333333336,0.10337013433646562
50,31,3,0.3,37.666666666666664,0.10207367407013321
50,105,3,0.3,47.333333333333336,0.09050893790259411
50,220,3,0.3,47.333333333333336,0.09478603115579441
50,74,3,0.3,47.666666666666664,0.08290257216736797
50,39,3,0.3,48.333333333333336,0.08043864961081493
50,203,2,0.2,37.5,0.10073274204319393
50,218,2,0.2,38.5,0.11883015737270322
50,111,2,0.2,39.5,0.10939349894326303
50,114,2,0.2,39.5,0.10929502270899077
50,55,2,0.2,42.5,0.0997446574498612
50,30,2,0.2,47,0.08084078153878557
50,167,1,0.1,24,0.11476411786592021
50,156,1,0.1,32,0.10555190794551671
50,165,1,0.1,38,0.10153337250402678
50,75,1,0.1,39,0.09525441521154042
50,139,1,0.1,42,0.12042225808679556
50,169,1,0.1,43,0.10158056277416042
50,217,1,0.1,45,0.11416733917570218
50,57,1,0.1,48,0.09322793418361773
50,183,1,0.1,48,0.0882837437842405
50,41,1,0.1,49,0.08061492981835762
50,171,1,0.1,49,0.09648609972324829
50,179,1,0.1,49,0.0925699281226537
50,154,1,0.1,50,0.09208847271253554
70,199,10,1.0,1.3,0.20782677704827104
70,202,10,1.0,2.9,0.19581478668210853
70,221,10,1.0,5.3,0.17593063688057978
70,188,10,1.0,6.3,0.16968468002223475
70,224,10,1.0,7.4,0.17018232573066167
70,210,10,1.0,9.2,0.16090082446522017
70,205,10,1.0,9.4,0.1621957485764499
70,213,10,1.0,10,0.15986022000500363
70,67,10,1.0,10.2,0.15609643469465176
70,191,10,1.0,11.1,0.15006003139601273
70,56,10,1.0,13.4,0.144909159111539
70,204,10,1.0,13.4,0.14651623508368572
70,70,10,1.0,14.4,0.14546989753188747
70,59,10,1.0,16.2,0.14063830985609313
70,23,10,1.0,17.9,0.1343335617430785
70,227,10,1.0,17.9,0.14019464511689878
70,26,10,1.0,20.7,0.12914978339290575
70,38,10,1.0,23.1,0.12670776321122093
70,194,10,1.0,23.6,0.1227485469512282
70,4,10,1.0,25,0.12259960590342016
70,37,10,1.0,25.3,0.12187109037372937
70,1,10,1.0,26.3,0.12106019399846772
70,34,10,1.0,26.3,0.12125798910368374
70,12,10,1.0,29.3,0.11836290815537957
70,45,10,1.0,31.2,0.1135671614632901
70,207,10,1.0,32.1,0.1105261355195479
70,216,10,1.0,32.1,0.11703214598453208
70,78,10,1.0,32.6,0.11367567698322868
70,226,10,1.0,33,0.11136669876292606
70,193,10,1.0,34.7,0.10759142690842094
70,15,10,1.0,35.8,0.11170543288053086
70,106,10,1.0,36.6,0.10603438488400542
70,73,10,1.0,37.7,0.10463970781108668
70,29,10,1.0,38.7,0.10430811947683573
70,215,10,1.0,40,0.10232401052538365
70,81,10,1.0,42.5,0.09947360252417309
70,100,10,1.0,43.5,0.09963298762118238
70,103,10,1.0,44.2,0.0989016296100335
70,72,10,1.0,45,0.09667009963307943
70,84,10,1.0,50.3,0.09077957200088282
70,62,9,0.9,34.111111111111114,0.10800626970796154
70,178,9,0.9,34.111111111111114,0.10695810919650697
70,27,9,0.9,37,0.10515571079778782
70,48,9,0.9,37.55555555555556,0.10616095174765307
70,229,9,0.9,44.888888888888886,0.09542001274844357
70,61,9,0.9,49,0.09054629981863227
70,196,9,0.9,52.22222222222222,0.08746540661721333
70,69,8,0.8,35.5,0.11264796526436496
70,28,8,0.8,45.875,0.09408758127404111
70,176,8,0.8,48.125,0.09068215100512435
70,91,7,0.7,42.857142857142854,0.10288208210300226
70,74,7,0.7,53.857142857142854,0.08765718093230808
70,218,7,0.7,54.142857142857146,0.08998209582447583
70,114,7,0.7,55.142857142857146,0.08595150528456429
70,75,7,0.7,55.57142857142857,0.08689788483013769
70,223,6,0.6,33,0.11384289120433942
70,66,6,0.6,39.833333333333336,0.10542355731265385
70,31,6,0.6,51.666666666666664,0.0878825745536397
70,167,6,0.6,54.5,0.08605935177202723
70,105,6,0.6,55.666666666666664,0.08506097725680606
70,40,5,0.5,43.2,0.09286668619105147
70,58,5,0.5,48,0.09756424873363173
70,111,5,0.5,51.2,0.08606975871286554
70,39,5,0.5,52.4,0.08078649004018137
70,30,5,0.5,55.8,0.0782999880096991
70,217,5,0.5,56.6,0.08138394920131803
70,83,5,0.5,58,0.08025244423000659
70,139,5,0.5,58,0.08633785243583238
70,63,5,0.5,59,0.07610352695022353
70,68,4,0.4,43,0.0946413451267272
70,203,4,0.4,50.5,0.08919521724234397
70,64,4,0.4,57.25,0.0733628610997787
70,108,4,0.4,59.75,0.07537314485057854
70,171,4,0.4,61,0.08290705261918366
70,51,4,0.4,64.5,0.06552587817382596
70,80,3,0.3,28.333333333333332,0.11289884085966838
70,212,3,0.3,34.333333333333336,0.1047375289500058
70,55,3,0.3,46.666666666666664,0.09440119558490023
70,220,3,0.3,47.333333333333336,0.09478603115579441
70,133,3,0.3,53.666666666666664,0.09719855119645594
70,57,3,0.3,56,0.0883433116345872
70,136,3,0.3,59,0.09463647502263116
70,183,3,0.3,59,0.08896270989401922
70,17,3,0.3,60.333333333333336,0.070416979522545
70,209,3,0.3,60.666666666666664,0.08210283968968951
70,49,3,0.3,61.666666666666664,0.07221986177128785
70,117,3,0.3,64.66666666666667,0.07980186255341327
70,88,3,0.3,67.33333333333333,0.07720616966536192
70,169,2,0.2,51,0.09895914887029658
70,165,2,0.2,53,0.08988171879596045
70,18,2,0.2,56,0.08117625358796005
70,41,2,0.2,56.5,0.07088965139554873
70,179,2,0.2,56.5,0.08606556574840069
70,122,2,0.2,60,0.08210870308258184
70,125,2,0.2,61.5,0.09396647354596996
70,128,2,0.2,62.5,0.09341677286993835
70,116,2,0.2,63.5,0.08982643595340473
70,228,2,0.2,65.5,0.06547466138504666
70,177,2,0.2,68.5,0.08736014521840503
70,180,2,0.2,69,0.08740417896835141
70,156,1,0.1,32,0.10555190794551671
70,154,1,0.1,50,0.09208847271253554
70,19,1,0.1,51,0.08018844029997955
70,166,1,0.1,51,0.09521158535921989
70,168,1,0.1,51,0.09053590281479128
70,189,1,0.1,52,0.08633775104155862
70,172,1,0.1,55,0.09146387463869408
70,148,1,0.1,56,0.08522163748740622
70,6,1,0.1,59,0.06993933732902094
70,89,1,0.1,60,0.06663423115067531
70,157,1,0.1,63,0.07903891410799942
70,92,1,0.1,65,0.06053506431616841
70,86,1,0.1,66,0.06438347376795443
70,182,1,0.1,67,0.07748243788653647
70,206,1,0.1,69,0.06087252463653776
70,16,1,0.1,70,0.07243634717394465
100,199,10,1.0,1.3,0.20782677704827104
100,202,10,1.0,2.9,0.19581478668210853
100,221,10,1.0,5.3,0.17593063688057978
100,188,10,1.0,6.3,0.16968468002223475
100,224,10,1.0,7.4,0.17018232573066167
100,210,10,1.0,9.2,0.16090082446522017
100,205,10,1.0,9.4,0.1621957485764499
100,213,10,1.0,10,0.15986022000500363
100,67,10,1.0,10.2,0.15609643469465176
100,191,10,1.0,11.1,0.15006003139601273
100,56,10,1.0,13.4,0.144909159111539
100,204,10,1.0,13.4,0.14651623508368572
100,70,10,1.0,14.4,0.14546989753188747
100,59,10,1.0,16.2,0.14063830985609313
100,23,10,1.0,17.9,0.1343335617430785
100,227,10,1.0,17.9,0.14019464511689878
100,26,10,1.0,20.7,0.12914978339290575
100,38,10,1.0,23.1,0.12670776321122093
100,194,10,1.0,23.6,0.1227485469512282
100,4,10,1.0,25,0.12259960590342016
100,37,10,1.0,25.3,0.12187109037372937
100,1,10,1.0,26.3,0.12106019399846772
100,34,10,1.0,26.3,0.12125798910368374
100,12,10,1.0,29.3,0.11836290815537957
100,45,10,1.0,31.2,0.1135671614632901
100,207,10,1.0,32.1,0.1105261355195479
100,216,10,1.0,32.1,0.11703214598453208
100,78,10,1.0,32.6,0.11367567698322868
100,226,10,1.0,33,0.11136669876292606
100,193,10,1.0,34.7,0.10759142690842094
100,15,10,1.0,35.8,0.11170543288053086
100,106,10,1.0,36.6,0.10603438488400542
100,73,10,1.0,37.7,0.10463970781108668
100,29,10,1.0,38.7,0.10430811947683573
100,178,10,1.0,39.3,0.1044955747533427
100,62,10,1.0,39.8,0.10329019204504984
100,215,10,1.0,40,0.10232401052538365
100,48,10,1.0,41.2,0.1025165313788809
100,27,10,1.0,41.3,0.10248761245952431
100,81,10,1.0,42.5,0.09947360252417309
100,100,10,1.0,43.5,0.09963298762118238
100,103,10,1.0,44.2,0.0989016296100335
100,72,10,1.0,45,0.09667009963307943
100,229,10,1.0,48.3,0.09246785172828577
100,84,10,1.0,50.3,0.09077957200088282
100,28,10,1.0,55.4,0.08836623293196003
100,196,10,1.0,55.4,0.08705842772688277
100,176,10,1.0,56.8,0.08486965140078351
100,74,10,1.0,60.9,0.0825611730048154
100,114,10,1.0,61.8,0.07982695551818554
100,218,10,1.0,61.9,0.08097819816909793
100,40,10,1.0,63.4,0.08207627519149481
100,39,10,1.0,65,0.07809056621060444
100,111,10,1.0,65,0.07790754761816718
100,75,10,1.0,66.6,0.07841928451139153
