threshold,selected_count,feature_count,selected_subcarriers
0.3,2,12,6;49
0.4,2,12,6;45
0.5,3,18,6;42;66
0.6,4,24,6;38;66;80
0.7,6,36,6;33;53;67;78;117
0.8,7,42,6;28;46;66;74;85;104
0.85,9,54,6;25;41;54;66;73;82;94;117
0.9,11,66,6;21;34;45;55;66;71;78;86;96;112
0.95,21,126,6;15;25;34;42;49;56;66;67;70;74;78;83;88;95;105;117;134;145;181;188
0.97,36,216,6;12;19;26;33;39;44;49;54;58;66;67;69;70;73;76;79;82;84;87;90;96;97;105;113;121;134;142;149;156;163;170;176;181;186;187
0.99,133,798,6;7;8;9;10;11;12;13;14;15;16;17;18;20;21;22;23;24;26;28;30;33;35;36;37;39;41;42;44;46;47;48;49;50;51;53;54;55;57;58;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;134;135;136;137;138;139;140;141;142;144;145;148;150;153;156;159;160;162;165;167;170;172;174;176;177;178;180;181;182;184;185;186;187;188;189;190
