threshold,subcarrier
0.3,6
0.3,49
0.4,6
0.4,45
0.5,6
0.5,42
0.5,66
0.6,6
0.6,38
0.6,66
0.6,80
0.7,6
0.7,33
0.7,53
0.7,67
0.7,78
0.7,117
0.8,6
0.8,28
0.8,46
0.8,66
0.8,74
0.8,85
0.8,104
0.85,6
0.85,25
0.85,41
0.85,54
0.85,66
0.85,73
0.85,82
0.85,94
0.85,117
0.9,6
0.9,21
0.9,34
0.9,45
0.9,55
0.9,66
0.9,71
0.9,78
0.9,86
0.9,96
0.9,112
0.95,6
0.95,15
0.95,25
0.95,34
0.95,42
0.95,49
0.95,56
0.95,66
0.95,67
0.95,70
0.95,74
0.95,78
0.95,83
0.95,88
0.95,95
0.95,105
0.95,117
0.95,134
0.95,145
0.95,181
0.95,188
0.97,6
0.97,12
0.97,19
0.97,26
0.97,33
0.97,39
0.97,44
0.97,49
0.97,54
0.97,58
0.97,66
0.97,67
0.97,69
0.97,70
0.97,73
0.97,76
0.97,79
0.97,82
0.97,84
0.97,87
0.97,90
0.97,96
0.97,97
0.97,105
0.97,113
0.97,121
0.97,134
0.97,142
0.97,149
0.97,156
0.97,163
0.97,170
0.97,176
0.97,181
0.97,186
0.97,187
0.99,6
0.99,7
0.99,8
0.99,9
0.99,10
0.99,11
0.99,12
0.99,13
0.99,14
0.99,15
0.99,16
0.99,17
0.99,18
0.99,20
0.99,21
0.99,22
0.99,23
0.99,24
0.99,26
0.99,28
0.99,30
0.99,33
0.99,35
0.99,36
0.99,37
0.99,39
0.99,41
0.99,42
0.99,44
0.99,46
0.99,47
0.99,48
0.99,49
0.99,50
0.99,51
0.99,53
0.99,54
0.99,55
0.99,57
0.99,58
0.99,66
0.99,67
0.99,68
0.99,69
0.99,70
0.99,71
0.99,72
0.99,73
0.99,74
0.99,75
0.99,76
0.99,77
0.99,78
0.99,79
0.99,80
0.99,81
0.99,82
0.99,83
0.99,84
0.99,85
0.99,86
0.99,87
0.99,88
0.99,89
0.99,90
0.99,91
0.99,92
0.99,93
0.99,94
0.99,95
0.99,96
0.99,97
0.99,98
0.99,99
0.99,100
0.99,101
0.99,102
0.99,103
0.99,104
0.99,105
0.99,106
0.99,107
0.99,108
0.99,109
0.99,110
0.99,111
0.99,112
0.99,113
0.99,114
0.99,115
0.99,116
0.99,117
0.99,118
0.99,119
0.99,120
0.99,121
0.99,122
0.99,134
0.99,135
0.99,136
0.99,137
0.99,138
0.99,139
0.99,140
0.99,141
0.99,142
0.99,144
0.99,145
0.99,148
0.99,150
0.99,153
0.99,156
0.99,159
0.99,160
0.99,162
0.99,165
0.99,167
0.99,170
0.99,172
0.99,174
0.99,176
0.99,177
0.99,178
0.99,180
0.99,181
0.99,182
0.99,184
0.99,185
0.99,186
0.99,187
0.99,188
0.99,189
0.99,190
